idrssd,year,bank_name,assets_c,tier1_capital_c,total_loans_c
37,2021,Bank of Hancock County,87398,16145,0
242,2021,"First Community  Bank, Xenia-Flora",51841,5215,0
279,2021,MINEOLA COMMUNITY BANK S. S. B.,299643,30645,0
354,2021,Bison State Bank,20368,1652,618
457,2021,LOWRY STATE BANK,58927,4918,0
505,2021,Ballston Spa National Bank,687274,57562,3352
1155,2021,First State Bank & Trust Company,281394,25245,323
1351,2021,Bank of Grandin,186703,27484,0
1454,2021,Hilltop National Bank,930784,102043,4236
1669,2021,Liberty National Bank,351611,48752,0
1856,2021,Washita State Bank,77372,11537,0
2161,2021,LAMAR NATIONAL BANK,279336,22795,0
2732,2021,"Albany Bank & Trust Co., N.A.",690727,102005,0
2750,2021,Genoa Community Bank,63872,7436,0
3252,2021,FIRST NATIONAL BANK OF GORDON,240659,29084,0
3458,2021,Farmers Bank Of Green City,67456,5431,0
3720,2021,"Bank Of Clarendon, The",315828,39960,50
3971,2021,Midcountry Bank,843294,102256,0
4156,2021,Kanza Bank,275440,23055,326
4231,2021,FARMERS AND MERCHANTS BANK,138784,18406,0
5069,2021,First Credit Bank,439042,193310,0
5135,2021,First State Bank of Blakely,527680,81679,0
5210,2021,ACNB Bank,2541188,226800,11034
5461,2021,BAC Community Bank,748353,72772,0
5751,2021,Kearny County Bank,239661,36820,722
6039,2021,Pineland Bank,345551,32448,0
6329,2021,Anderson Brothers Bank,1108539,98229,7492
7009,2021,Bessemer Trust Company,828195,91291,0
7045,2021,The Peoples Bank,245405,22942,0
7072,2021,Wallkill Valley Federal Savings And Loan Association,355697,35692,7124
7456,2021,Bank of Hartington,110959,9692,0
7634,2021,THE FOUR COUNTY BANK,78810,11154,0
8033,2021,Peoples Bank And Trust Company Of Pointe Coupee Parish,357165,47985,0
8462,2021,Perryton National Bank,163332,26156,0
8631,2021,The Pleasants County Bank,67660,7122,0
9357,2021,Fidelity Bank,859978,69221,0
9553,2021,ADAMS COUNTY BANK,203051,19113,0
9807,2021,Amboy Bank,2687604,362806,0
9955,2021,"First State Bank And Trust Company Of Larned, The",185855,23101,0
10250,2021,"Bank Of Elk River, The",583201,45420,0
10849,2021,FIRST STATE BANK,258134,25934,0
11145,2021,Lake-Osceola State Bank,343267,28023,641
11640,2021,FIRST NATIONAL BANK OF CLARKSDALE,392897,45662,0
11837,2021,The Farmers Bank,134437,15158,0
12030,2021,FNB South,469136,67372,0
12142,2021,The Cleveland State Bank,278419,27245,0
12311,2021,The Huntington National Bank,122837617,10601382,1274913
12647,2021,The Portage County Bank,183744,18276,130
12656,2021,EMERALD BANK,19227,2037,0
12946,2021,Farmers Bank & Trust Company,1793266,170367,10063
13103,2021,Bristol County Savings Bank,2788219,334659,5784
13251,2021,Elysian Bank,57565,6346,0
13457,2021,Bank Of Lewellen,25132,6407,0
14155,2021,F and C Bank,265441,27245,125
14650,2021,Bank Of Locust Grove,45909,5172,0
14753,2021,"Farmers State Bank Of Bucklin, Kansas, The",55291,4513,0
14865,2021,Bank Of Eastern Oregon,666291,51368,0
14977,2021,First Federal Bank Littlefield Texas ssb,53376,10045,0
16551,2021,Northview Bank,383782,42542,1210
16748,2021,The Elberfeld State Bank,86524,10036,0
17110,2021,The Haverford Trust Company,168840,27538,0
17147,2021,First Merchants Bank,14044203,1283922,3966
17259,2021,The First National Bank In Marlow,60710,5660,0
17950,2021,"Bank Of Bridger, National Association",699460,60127,3625
17978,2021,Elizabethton Federal Savings Bank,309592,123593,0
18050,2021,First National Bank of Bastrop,730154,69877,304
18827,2021,"NexTier Bank, N.A.",1649262,146586,0
18836,2021,Capon Valley Bank,182208,18220,0
18854,2021,Bank 7,1015692,105696,324
19356,2021,SECURITY BANK AND TRUST COMPANY,91568,8642,0
19936,2021,Citizens Bank of Americus,400145,33758,0
19972,2021,FARMERS BUILDING AND SAVINGS BANK,114358,21723,0
20053,2021,Security Bank,137375,16037,0
20633,2021,MCNB Bank And Trust Co.,321845,36774,0
20857,2021,Granite Falls Bank,169976,14795,300
21256,2021,State Bank Of Burrton,11078,1226,0
21359,2021,AMERICAN STATE BANK OF GRYGLA,66451,6225,0
21658,2021,ALLIANCE BANK,203621,19533,0
22048,2021,Union Bank & Trust Company,250411,24570,0
22543,2021,State Savings Bank,305258,26068,2257
22552,2021,FIRST SOUTHEAST BANK,115194,9380,0
22730,2021,West Union Bank,217519,18818,0
23456,2021,The First National Bank Of Henning,260181,27836,1349
23504,2021,BNB Bank,6433919,503524,52785
