Variable,Description,Source
All-in Spread Undrawn,Total (fees and interest) annual spread over LIBOR for each dollar available under a commitment,Dealscan
Lead Share,Share of the loan that is retained by lead arranger at the loan origination,Dealscan
Herfindahl Index,"Herfindahl concentration index of the loan syndicate, sum of squared share held by each participant",Dealscan
Number of Participants,Number of participants (excluding lead arrangers) in the original syndicate,Dealscan
Private,Dummy variable equal to 1 if the borrower is not publicly traded,Dealscan
Senior Debt Rating NIG,Dummy variable equal to 1 if the borrower’s senior debt rating is BB or below,Dealscan
Not Rated,Dummy variable equal to 1 if the borrower is not rated or the data is missing,Dealscan/Compustat
Log (Sales at Close),Logarithm of the sales at close,Dealscan
Assets,Total assets in millions,Compustat
Leverage,Ratio of book value of debt to total assets,Compustat
R&D / Sales,Ratio of research and development to sales,Compustat
Accruals / Assets,Difference between Operating Activities Net Cash Flow and Income Before Extra Items scaled by assets,Compustat
Abs. Accruals / Assets,Absolute value of accruals scaled by total assets,Compustat
Previous Syndicated Loans,Dummy variable equal to 1 if the borrower was previously issued a syndicated loan,Dealscan
High Volatility,Dummy variable equal to 1 if CRSP borrower’s volatility of stock returns is above industry portfolio volatility,Dealscan
Facility Amount,Total facility amount in million dollars,Dealscan
Maturity,Maturity of the facility in months,Dealscan
Collateral,Dummy variable equal to 1 if the loan is secured,Dealscan
Financial Covenants,Dummy variable equal to 1 if the loan has financial covenants,Dealscan
Dividends Restrictions,Dummy variable equal to 1 if the loan has general covenants restricting dividend payment,Dealscan
Prime Base Rate,Dummy variable equal to 1 if the base rate is Prime,Dealscan
Performance Pricing (Increasing/Decreasing),Dummy variable equal to 1 if the loan has increasing/decreasing performance pricing specified,Dealscan
Revolve Line < 1,Dummy variable equal to 1 if the loan is a revolving line with maturity below one year,Dealscan
Nonbank,Indicator variable equal to one for nonbank lenders and zero for bank lenders,Dealscan
Past Nonbank Share,Industry-level ratio of nonbank syndicated borrowing to total syndicated borrowing over a specific period,Dealscan
Past Nonbank Relation,Indicator variable equal to one for borrowers who have previously borrowed from a nonbank,Dealscan
All Loans,Log of total credit extended to a borrower in a quarter,Dealscan
Term Loans,Log of total term loan amount extended by a lender to a borrower in a quarter,Dealscan
Credit Lines,Log of total credit line amount extended by a lender to a borrower in a quarter,Dealscan
Spread,Log of all-in Spread,Dealscan
New Loan,Indicator variable equal to one if the firm takes out a new loan in the quarter,Dealscan
Total Borrowing,Log of total credit extended to a borrower in a quarter (sum across lenders),Dealscan
Merger Lead Allocation,Indicator variable equal to 1 if the lead bank was involved in a merger over the one-year period preceding the loan issuance date,Dealscan
Syndicate Concentration (Herfindahl Index),Herfindahl-Hirschmann index of loan holdings among syndicate members,Dealscan
Participant-Lead No-Relationship,Indicator variable equal to 1 if the participant has not been involved in a deal with the lead arranger over the one-year period preceding the loan issuance date,Dealscan
ROA,"Ratio of the borrower's income before extraordinary items to its total assets, estimated in the quarter preceding a loan’s issuance",Compustat
Interest Coverage,"Ratio of earnings before interest and tax to interest expense, estimated in the quarter preceding a loan’s issuance",Compustat
Leverage,"Ratio of total liabilities to the book value of assets, estimated in the quarter preceding a loan’s issuance",Compustat
Size,"Natural logarithm of the book value of assets, estimated in the quarter preceding a loan’s issuance",Compustat
MTB,"Ratio of the market value of equity to the book value of equity, estimated in the quarter preceding a loan’s issuance",Compustat
Investment Rating,Indicator variable equal to 1 if the borrower has an investment-grade senior debt rating from S&P,Dealscan
Amount,Natural logarithm of the facility amount in U.S. dollars,Dealscan
