activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets_x,other lender code_x,respondent name (panel)_x,respondent city (panel)_x,respondent state (panel)_x,top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,respondent name (panel)_y,respondent city (panel)_y,respondent state (panel)_y,assets_y,other lender code_y,region code,lar count,validity error
2012,99-0332905,9,0000451965,WELLS FARGO BK NA             ,SIOUX FALLS              ,SD,0,608782456,1,WELLS FARGO HOME MTG HAWAII                                           ,HONOLULU                 ,HI                    ,1120754,WELLS FARGO & CO              ,SAN FRANCISCO            ,CA,UNITED STATES                           ,26879370,451965,15,2012,9,99-0332905,WELLS FARGO HOME MORTG HAWAII,100 N MAIN STREET MAC D4001-063,WINSTON-SALEM,NC,27150,WELLS FARGO BANK  N.A.,101 N PHILLIPS AVE,SIOUX FALLS,SD,57104,WELLS FARGO HOME MTG HAWAII,HONOLULU,HI,608782456,1,0,2125,N
2012,0000000047,1,          ,                              ,                         ,  ,3,2854392,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,6933450,0,18,2012,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2854392,0,3,3657,N
2012,0000000047,1,          ,                              ,                         ,  ,3,2854392,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,1208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,6933450,0,18,2012,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS & FARMERS BK,HALEYVILLE,AL,366570,0,5,359,N
2012,0000000047,3,          ,                              ,                         ,  ,5,366570,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,3903360,0,1,2012,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2854392,0,3,3657,N
2012,0000000047,3,          ,                              ,                         ,  ,5,366570,0,TRADERS & FARMERS BK                                                  ,HALEYVILLE               ,AL                    ,3467305,TRADERS & FARMERS BSHRS       ,HALEYVILLE               ,AL,UNITED STATES                           ,3903360,0,1,2012,3,63-0211790,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS AND FARMERS BANK,P O BOX 550,HALEYVILLE,AL,35565,TRADERS & FARMERS BK,HALEYVILLE,AL,366570,0,5,359,N
2012,0000000056,1,          ,                              ,                         ,  ,3,6663427,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,1071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,1656280,0,39,2012,1,31-0308605,FIRST FINANCIAL BANK  N.A.,225 E. FIFTH ST  SUITE 700,CINCINNATI,OH,45202,,,,,,FIRST FNCL BK NA,HAMILTON,OH,6663427,0,3,2715,N
2012,0000000086,1,          ,                              ,                         ,  ,3,52094,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0,                              ,                         ,  ,                                        ,5059160,0,39,2012,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,52094,0,3,17,N
2012,0000000182,1,          ,                              ,                         ,  ,4,330487,0,EXCHANGE NB&TC CO                                                     ,ATCHISON                 ,KS                    ,1054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,1440520,0,20,2012,1,48-1175601,EXCHANGE NATIONAL BANK & TRUST,600 COMMERCIAL,ATCHISON,KS,66002,,,,,,EXCHANGE NB&TC CO,ATCHISON,KS,330487,0,4,207,N
2012,0000000324,1,          ,                              ,                         ,  ,1,785017,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,10074170,0,42,2012,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,785017,0,1,208,N
2012,0000000324,1,          ,                              ,                         ,  ,1,785017,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,1117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,10074170,0,42,2012,3,64-0750822,CITIZENS BANK,814 MAIN STREET,COLUMBIA,MS,39429,,,,,,CITIZENS BK,COLUMBIA,MS,357201,0,13,697,N
