activity year_x,respondent id,agency code_x,parent respondent id,parent name (panel),parent city (panel),parent state (panel),region,assets,other lender code,respondent name (panel),respondent city (panel),respondent state (panel),top holder rssd id,top holder name,top holder city,top holder state,top holder country,respondent rssd id,parent rssd id,respondent fips state number,activity year_y,agency code_y,federal tax id,respondent name,respondent mailing address,respondent city,respondent state,respondent zip code,parent name,parent address,parent city,parent state,parent zip code,lar count
2017,0002736291,9,2138466.0,"POPULAR NORTH AMERICA, INC.",SAN JUAN,PR,,8629295.0,0,BANCO POPULAR NORTH AMERICA,NEW YORK,NY,1129382.0,"POPULAR, INC.",SAN JUAN,PR,PUERTO RICO,2736291.0,2138466.0,36.0,2017,9,52-2126008,BANCO POPULAR NORTH AMERICA,85 BROAD STREET,NEW YORK,NY,10004,POPULAR INC,PO Box 362708,SAN JUAN,PR,00936-2708,941
2017,0003783948,9,3226762.0,RBC USA HOLDCO CORPORATION,NEW YORK,NY,,3837573.0,0,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION",ATLANTA,GA,1232497.0,ROYAL BANK OF CANADA,MONTREAL,0 ,CANADA,3783948.0,3226762.0,13.0,2017,9,63-0904030,"RBC BANK (GEORGIA), N.A.",8081 Arco Corporate Drive,Raleigh,NC,27617,RBC USA Hold Corp.,3 World Financial Center,New York,NY,10281-8098,1114
2017,0000722777,9,3981856.0,"SANTANDER HOLDINGS USA, INC.",BOSTON,MA,,83094906.0,0,"SANTANDER BANK, NATIONAL ASSOCIATION",WILMINGTON,DE,1239254.0,"BANCO SANTANDER, S.A.",BOADILLA DEL MONTE MADRID,0 ,SPAIN,722777.0,3981856.0,10.0,2017,9,23-1237295,SANTANDER BANK N.A.,"824 North Market Street, Suite 100",Wilmington,DE,19801,Santander Holdings USA Inc,75 State Street,Boston,MA,02109,13768
2017,0000212465,9,1378434.0,MUFG AMERICAS HOLDINGS CORPORATION,NEW YORK,NY,,115552770.0,0,"MUFG UNION BANK, NATIONAL ASSOCIATION",SAN FRANCISCO,CA,2961897.0,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",TOKYO,0 ,JAPAN,212465.0,1378434.0,6.0,2017,9,94-0304228,"MUFG UNION BANK, N.A.","9865 Towne Centre Drive, 3rd Floor",San Diego,CA,92121,MUFG Americas Holdings Corp,"400 California Street, 14th Fl",San Francisco,CA,94104-1302,23304
2017,0003212149,9,2967509.0,UBS AMERICAS INC.,NEW YORK,NY,,56935844.0,0,UBS BANK USA,SALT LAKE CITY,UT,4795461.0,UBS GROUP AG,ZURICH,0 ,SWITZERLAND (OTHER),3212149.0,2967509.0,49.0,2017,9,87-0477597,UBS BANK USA,299 S. MAIN ST,SALT LAKE CITY,UT,84111,UBS Americas Inc,1285 Avenue of the Americas,New York,NY,10019,3996
2017,0000451965,9,2741679.0,WFC HOLDINGS CORPORATION,SAN FRANCISCO,CA,,1727235000.0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION",SIOUX FALLS,SD,1120754.0,WELLS FARGO & COMPANY,SAN FRANCISCO,CA,UNITED STATES,451965.0,2741679.0,46.0,2017,9,94-1347393,WELLS FARGO BANK NA,100 N MAIN STREET MAC D4001-042,WINSTON-SALEM,NC,27150-0000,WELLS FARGO & CO,420 MONTGOMERY STREET,SAN FRANCISCO,CA,94104-1207,1008498
2017,0000675332,9,1077120.0,SUNTRUST BANK HOLDING COMPANY,ORLANDO,FL,,200557635.0,0,SUNTRUST BANK,ATLANTA,GA,1131787.0,"SUNTRUST BANKS, INC.",ATLANTA,GA,UNITED STATES,675332.0,1077120.0,13.0,2017,9,58-0466330,"SUNTRUST BANKS, INC","P.O. BOX 4418, MAIL CODE 0663",ATLANTA,GA,30302,,,,,,81828
2017,0000601050,9,1056835.0,"CBI-KANSAS, INC.",KANSAS CITY,MO,,25529171.0,0,COMMERCE BANK,KANSAS CITY,MO,1049341.0,"COMMERCE BANCSHARES, INC.",KANSAS CITY,MO,UNITED STATES,601050.0,1056835.0,29.0,2017,9,48-0962626,COMMERCE BANK,"922 WALNUT, TB 12-1",KANSAS CITY,MO,64106-1871,"COMMERCE BANCSHARES, INC.","922 WALNUT, TB 12-1",KANSAS CITY,MO,64106-1871,7733
2017,0000501105,9,3940714.0,WILMINGTON TRUST CORPORATION,WILMINGTON,DE,,122631667.0,0,MANUFACTURERS AND TRADERS TRUST COMPANY,BUFFALO,NY,1037003.0,M&T BANK CORPORATION,BUFFALO,NY,UNITED STATES,501105.0,3940714.0,36.0,2017,9,16-0538020,M&T BANK,701 SENECA STREET - SUITE 330N,BUFFALO,NY,14210-1351,M&T BANK CORPORATION,1 M&T PLAZA - 8th Floor,BUFFALO,NY,14203-2399,27707
2017,0002735146,9,3838857.0,EVERBANK FINANCIAL CORP,JACKSONVILLE,FL,,27829056.0,0,"TIAA, FSB",JACKSONVILLE,FL,3792687.0,TIAA BOARD OF OVERSEERS,NEW YORK,NY,UNITED STATES,2735146.0,3838857.0,12.0,2017,9,59-3531592,"TIAA, FSB",501 Riverside Avenue,Jacksonville,FL,32202,"TIAA FSB Holdings, Inc",730 3rd Avenue,New York,NY,10017,56873
2017,0000790534,3,3369995.0,"BANCO POPULAR ESPANOL, S.A.",MADRID,0 ,,2947741.0,0,TOTALBANK,MIAMI,FL,1239254.0,"BANCO SANTANDER, S.A.",BOADILLA DEL MONTE MADRID,0 ,SPAIN,790534.0,3369995.0,12.0,2017,3,59-1498440,TOTALBANK,100 SE 2ND STREET,MIAMI,FL,33131,Banco Popular,100 SE 2nd Street,Miami,FL,33131,221
2017,0000619877,9,1447385.0,USAA CAPITAL CORP.,SAN ANTONIO,TX,,77760914.0,0,USAA FEDERAL SAVINGS BANK,SAN ANTONIO,TX,1447376.0,UNITED SERVICES AUTOMOBILE ASSOCIATION,SAN ANTONIO,TX,UNITED STATES,619877.0,1447385.0,48.0,2017,9,74-2291652,USAA FEDERAL SAVINGS BANK,10750 MCDERMOTT FREEWAY,SAN ANTONIO,TX,78288-0544,USAA CAPITAL CORPORATION,9800 FREDERICKSBURG RD,SAN ANTONIO,TX,78288-0544,116723
2017,0000413208,9,1020201.0,HSBC USA INC.,NEW YORK,NY,,197206045.0,0,"HSBC BANK USA, NATIONAL ASSOCIATION",MC LEAN,VA,1857108.0,HSBC HOLDINGS PLC,LONDON,0 ,ENGLAND,413208.0,1020201.0,51.0,2017,9,20-1177241,"HSBC BANK USA, NA","1800 Tysons Blvd., Suite 50",McLean,VA,22102,"HSBC USA, Inc",452 Fifth Avenue,New York,NY,10018,11371
2017,0000723112,9,2990244.0,FIFTH THIRD FINANCIAL CORPORATION,CINCINNATI,OH,,139776168.0,0,FIFTH THIRD BANK,CINCINNATI,OH,1070345.0,FIFTH THIRD BANCORP,CINCINNATI,OH,UNITED STATES,723112.0,2990244.0,39.0,2017,9,31-0676865,Fifth Third Bank,38 Fountain Square MD1090K1,Cincinnati,OH,45263,Fifth Third Bancorp,38 Fountain Square Plaza  MD 1090K1,Cincinnati,OH,45263,10212
2017,0000480228,9,1199769.0,BANA HOLDING CORPORATION,CHARLOTTE,NC,,1677490000.0,0,"BANK OF AMERICA, NATIONAL ASSOCIATION",CHARLOTTE,NC,1073757.0,BANK OF AMERICA CORPORATION,CHARLOTTE,NC,UNITED STATES,480228.0,1199769.0,37.0,2017,9,57-0236115,"BANK OF AMERICA, N.A.",31303 Agoura Rd CA6-917-01-20,Westlake Village,CA,91361,Bank of America Corporation,100 N Tryon,Charlotte,NC,28255,193163
2017,0000075633,9,1245415.0,BMO FINANCIAL CORP.,WILMINGTON,DE,,106169829.0,0,BMO HARRIS BANK NATIONAL ASSOCIATION,CHICAGO,IL,1231333.0,BANK OF MONTREAL,MONTREAL,0 ,CANADA,75633.0,1245415.0,17.0,2017,9,36-2085229,BMO HARRIS BANK N.A.,111 W. MONROE,CHICAGO,IL,60603-4096,,,,,,23397
2017,0000697633,9,1078529.0,"BBVA COMPASS BANCSHARES, INC.",HOUSTON,TX,,83640475.0,0,COMPASS BANK,BIRMINGHAM,AL,1391237.0,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BILBAO,0 ,SPAIN,697633.0,1078529.0,1.0,2017,9,63-0476286,COMPASS BANK,15 SOUTH 20TH ST,BIRMINGHAM,AL,35233,COMPASS BANCSHARES INC,15 SOUTH 20TH STREET,BIRMINGHAM,AL,35233,13205
2017,0000915878,9,3828045.0,TFS FINANCIAL CORPORATION,CLEVELAND,OH,,13155641.0,0,THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND,CLEVELAND,OH,3828036.0,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC",CLEVELAND,OH,UNITED STATES,915878.0,3828045.0,39.0,2017,9,34-0573493,THIRD FEDERAL SAVINGS AND LOAN,7007 BROADWAY AVENUE,CLEVELAND,OH,44105,,,,,,24778
2017,0000800657,9,1020180.0,BREMER FINANCIAL CORPORATION,SAINT PAUL,MN,,11496234.0,0,"BREMER BANK, NATIONAL ASSOCIATION",SAINT PAUL,MN,1121340.0,OTTO BREMER TRUST,SAINT PAUL,MN,UNITED STATES,800657.0,1020180.0,27.0,2017,9,41-0224890,"BREMER BANK, NA",372 St. Peter Street,St. Paul,MN,55102-1302,Bremer Financial Corporation,"380 St. Peter Street, Suite 500",St. Paul,MN,55102-1302,4501
2017,0001015560,9,2403119.0,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,BEIJING,0 ,,2230603.0,0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",NEW YORK,NY,4097978.0,CHINA INVESTMENT CORPORATION,BEIJING,0 ,"CHINA, PEOPLES REPUBLIC OF",1015560.0,2403119.0,36.0,2017,9,95-3763643,INDUSTRIAL & COMMERCIAL BANK OF CHINA (USA) NA,"1633 Broadway, 28th Floor",NEW YORK,NY,10019,,,,,,200
2017,0000063069,9,3226762.0,RBC USA HOLDCO CORPORATION,NEW YORK,NY,,46120923.0,0,CITY NATIONAL BANK,LOS ANGELES,CA,1232497.0,ROYAL BANK OF CANADA,MONTREAL,0 ,CANADA,63069.0,3226762.0,6.0,2017,9,95-1780067,CITY NATIONAL BANK,555 South Flower Street,Los Angeles,CA,90071,,,,,,2504
2017,0001842065,9,5014141.0,CIBC HOLDCO INC.,CHICAGO,IL,,20039455.0,0,CIBC BANK USA,CHICAGO,IL,1231342.0,CANADIAN IMPERIAL BANK OF COMMERCE,TORONTO,0 ,CANADA,1842065.0,5014141.0,17.0,2017,9,36-3722148,CIBC BANK USA,120 South LaSalle,Chicago,IL,60603,,,,,,1984
2017,0000817824,9,1469314.0,"PNC BANCORP, INC.",WILMINGTON,DE,,355999734.0,0,"PNC BANK, NATIONAL ASSOCIATION",WILMINGTON,DE,1069778.0,"PNC FINANCIAL SERVICES GROUP, INC., THE",PITTSBURGH,PA,UNITED STATES,817824.0,1469314.0,10.0,2017,9,22-1146430,PNC BANK N.A.,249 Fifth Ave.   MS P1-POPP-22-2,Pittsburgh,PA,15222,PNC Financial Services Group,249 Fifth Ave.,Pittsburgh,PA,15222,110579
2017,0000527954,9,1020902.0,"FIRST NATIONAL OF NEBRASKA, INC.",OMAHA,NE,,18938350.0,0,FIRST NATIONAL BANK OF OMAHA,OMAHA,NE,1066209.0,LAURITZEN CORPORATION,OMAHA,NE,UNITED STATES,527954.0,1020902.0,31.0,2017,9,47-0259043,FIRST NATIONAL BANK OF OMAHA,1620 DODGE STREET,OMAHA,NE,68197,FIRST NATIONAL OF NEBRASKA INC,1620 DODGE STREET,OMAHA,NE,68197,9157
2017,0000816210,9,2847115.0,SANTANDER BANCORP,SAN JUAN,PR,,5339217.0,0,BANCO SANTANDER PUERTO RICO,SAN JUAN,PR,1239254.0,"BANCO SANTANDER, S.A.",BOADILLA DEL MONTE MADRID,0 ,SPAIN,816210.0,2847115.0,72.0,2017,9,66-0312389,BANCO SANTANDER PR,"P O BOX 362589,",SAN JUAN,PR,00936-2589,,,,,,872
2017,0000214807,9,1032473.0,DEUTSCHE BANK TRUST CORPORATION,NEW YORK,NY,,53814000.0,0,DEUTSCHE BANK TRUST COMPANY AMERICAS,NEW YORK,NY,1242423.0,DEUTSCHE BANK AKTIENGESELLSCHAFT,FRANKFURT,0 ,GERMANY,214807.0,1032473.0,36.0,2017,9,13-4941247,Deutsche Bank Trust Company Am,"345 Park Avenue, Floor 14",New York,NY,10154,DB USA Corporation,60 Wall Street,New York,NY,10005,15
2017,0000595270,9,2568278.0,MIDLAND FINANCIAL CO.,OKLAHOMA CITY,OK,,13265339.0,0,MIDFIRST BANK,OKLAHOMA CITY,OK,3839096.0,"G. JEFFREY RECORDS, JR. 2003 FAMILY TRUST",OKLAHOMA CITY,OK,UNITED STATES,595270.0,2568278.0,40.0,2017,9,73-0383055,MidFirst Bank,501 NW Grand Blvd,Oklahoma City,OK,73118,Midland Financial Co.,501 NW Grand Blvd,Oklahoma City,OK,73118,15666
2017,0000476810,9,3375370.0,CITICORP LLC,NEW YORK,NY,,1349581000.0,0,"CITIBANK, N.A.",SIOUX FALLS,SD,1951350.0,CITIGROUP INC.,NEW YORK,NY,UNITED STATES,476810.0,3375370.0,46.0,2017,9,13-5266470,"CITIBANK, N.A.","1 Court Square,43rd Floor",Long Island City,NY,11120,CITIGROUP INC.,399 PARK AVENUE,NEW YORK,NY,10043,77553
2017,0000497404,9,1249196.0,TD BANK US HOLDING COMPANY,CHERRY HILL,NJ,,269030606.0,0,"TD BANK, N.A.",WILMINGTON,DE,1238565.0,"TORONTO-DOMINION BANK, THE",TORONTO,0 ,CANADA,497404.0,1249196.0,10.0,2017,9,01-0137770,TD BANK N.A.,2035 LIMESTONE ROAD,WILMINGTON,DE,19808,TD BANK US HOLDING COMPANY,1701 ROUTE 70 EAST,CHERRY HILL,NJ,08034,35857
2017,0002489805,9,4368883.0,MORGAN STANLEY DELTA HOLDINGS LLC,NEW YORK,NY,,52958000.0,0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",PURCHASE,NY,2162966.0,MORGAN STANLEY,NEW YORK,NY,UNITED STATES,2489805.0,4368883.0,36.0,2017,9,22-3458456,"Morgan Stanley Private Bank, NA",2000 Westchester Ave,Purchase,NY,10577,,,,,,9366
2017,0000877369,9,2307280.0,"UTRECHT-AMERICA HOLDINGS, INC.",NEW YORK,NY,,14547000.0,0,"RABOBANK, NATIONAL ASSOCIATION",ROSEVILLE,CA,1242928.0,COOPERATIEVE RABOBANK U.A.,UTRECHT,0 ,NETHERLANDS,877369.0,2307280.0,6.0,2017,9,95-3463626,"Rabobank, NA",915 Highland Pointe Drive,Roseville,CA,95678,"Utrecht-America Holdings, Inc.",245 Park Avenue,New York,NY,10167-3799,1098
2017,0000311845,9,1845673.0,"ARVEST HOLDINGS, INC.",BENTONVILLE,AR,,16686060.0,0,ARVEST BANK,FAYETTEVILLE,AR,1095674.0,"ARVEST BANK GROUP, INC.",BENTONVILLE,AR,UNITED STATES,311845.0,1845673.0,5.0,2017,9,71-0118700,ARVEST BANK,201 W WALNUT,ROGERS,AR,72756,ARVEST BANK GROUP,75 NORTH EAST AVE,FAYETTEVILLE,AR,72701,22832
2017,0000804963,9,4989420.0,BANCWEST HOLDING INC.,SAN FRANCISCO,CA,,83730044.0,0,BANK OF THE WEST,SAN FRANCISCO,CA,1231968.0,BNP PARIBAS,PARIS,0 ,FRANCE (OTHER),804963.0,4989420.0,6.0,2017,9,94-0475440,BANK OF THE WEST,180 MONTGOMERY STREET,SAN FRANCISCO,CA,94104-4297,BANCWEST CORPORATION,999 BISHOP STREET,HONOLULU,HI,96813,15523
