activity_year_x,upper,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,lei,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2021,549300BBKMRS6J0CB539,36-4078960,7,4325493,4325493,AMERICAN PORTFOLIO MORTGAGE CORPORATION,NV,CARSON CITY,-1,3,-1,,-1,,2021,4,549300BBKMRS6J0CB539,7,American Portfolio Mortgage Corporation,IL,Palatine,60067,3768
2021,549300RM7ARTTP3T1V93,16-0373410,1,161602,161602,The Canandaigua National Bank and Trust Company,NY,Canandaigua,2998725,0,1133503,,1133503,CANANDAIGUA NATIONAL CORPORATION,2021,4,549300RM7ARTTP3T1V93,1,The Canandaigua National Bank and Trust Company,NY,Canandaigua,14424,2431
2021,5493003T5D4N1CM46J77,91-0459933,3,1018927,1018927,1st Security Bank of Washington,WA,Mountlake Terrace,1712897,0,4347208,,4347208,"FS BANCORP, INC.",2021,4,5493003T5D4N1CM46J77,3,1st Security Bank of Washington,WA,Mountlake Terrace,98043,5163
2021,254900BMXWPEHXG4LF21,37-1942506,7,,-1,Smartfi Home Loans LLC,,,-1,-1,-1,,-1,,2021,4,254900BMXWPEHXG4LF21,7,"Bankers Guarantee Mortgage Company, LLC",OH,Medina,44256,177
2021,549300R2Q0E1T4DWKH51,23-2990904,3,,2754389,LINKBANK,PA,Camp Hill,233500,-1,5272361,,5272361,LINKBANCORP,2021,4,549300R2Q0E1T4DWKH51,3,LINKBANK,PA,Camp Hill,17011,123
2021,254900C2QXQ435D8TY78,58-0330052,1,960935,960935,Queensborough National Bank & Trust Company,GA,Louisville,1220650,0,1130904,,1130904,"QUEENSBOROUGH COMPANY, THE",2021,4,254900C2QXQ435D8TY78,1,Queensborough National Bank and Trust,GA,Louisville,30434,1977
2021,549300QB357BUUUV7A56,20-1286388,1,,3610718,OLD DOMINION NATIONAL BANK,VA,NORTH GARDEN,-1,-1,-1,,-1,,2021,4,549300QB357BUUUV7A56,1,Old Dominion National Bank,VA,North Garden,22959,687
2021,549300MFY0P4D234OB91,20-8279218,7,4533766,4533766,HOMESPIRE MORTGAGE CORPORATION,MD,BALTIMORE,-1,3,-1,,-1,,2021,4,549300MFY0P4D234OB91,7,Homespire Mortgage Corporation,MD,Gaithersburg,20878,12025
2021,549300XARD788LSGZW76,63-0318800,3,259330,259330,First US Bank,AL,Birmingham,788490,0,1086168,,1086168,"FIRST US BANCSHARES, INC.",2021,4,549300XARD788LSGZW76,3,FIRST US BANK,AL,BIRMINGHAM,35243,57
2021,549300YEI60WAHWQ3110,91-0333066,5,754693,754693,KITSAP Credit Union,WA,Bremerton,1435831,0,-1,,-1,,2021,4,549300YEI60WAHWQ3110,5,KITSAP CREDIT UNION,WA,BREMERTON,98337,2437
2021,254900QY5ST0J7P6M123,06-0322790,3,311603,311603,Dime Bank,CT,Norwich,894697,0,-1,,-1,,2021,4,254900QY5ST0J7P6M123,3,Dime Bank,CT,Norwich,06360,522
2021,549300W76QLF060CER73,72-0401331,7,,-1,"First South Farm Credit, ACA",MS,Ridgeland,-1,3,-1,,-1,,2021,4,549300W76QLF060CER73,7,"First South Farm Credit, ACA",MS,Ridgeland,39157,122
2021,549300ZIQ24V0C88AC41,59-0642956,5,84073,84073,GTE Federal Credit Union,FL,Tampa,2205234,0,-1,,-1,,2021,4,549300ZIQ24V0C88AC41,5,GTE FEDERAL CREDIT UNION,FL,TAMPA,33602,5702
2021,2549002A7VC63ZJQY749,16-0341540,3,165806,165806,The Bank of Castile,NY,Castile,1510826,0,2367921,,2367921,TOMPKINS FINANCIAL CORPORATION,2021,4,2549002A7VC63ZJQY749,3,The Bank of Castile,NY,Batavia,14020,415
2021,2549005DO6VPVH5MOS59,95-1818041,5,47489,47489,Credit Union of Southern California,CA,Anaheim,1680022,0,-1,,-1,,2021,4,2549005DO6VPVH5MOS59,5,Credit Union of Southern Californa,CA,Anahiem Hills,92808,950
2021,549300WPK18IMSC1OM63,38-4039488,7,,-1,"OREC STRUCTURED FINANCE CO., LLC",,,-1,-1,-1,,-1,,2021,4,549300WPK18IMSC1OM63,7,"OREC Structured Finance Co., LLC",OH,Columbus,43215,158
2021,549300HUJ6V0QTROHW53,20-2432282,3,3437148,3437148,First Freedom Bank,TN,Lebanon,477160,0,3807899,"FIRST FREEDOM BANCSHARES, INC.",3807899,"FIRST FREEDOM BANCSHARES, INC.",2021,4,549300HUJ6V0QTROHW53,3,FIRST FREEDOM BANK,TN,LEBANON,37087,99
2021,54930071HHK4VYJ1SG61,06-0475460,2,939070,939070,EASTERN CONNECTICUT SAVINGS BANK,CT,Norwich,193087,-1,-1,,-1,,2021,4,54930071HHK4VYJ1SG61,2,EASTERN CT SAVINGS BANK,CT,NORWICH,06360,612
2021,549300B3BEP9WW99IR76,39-0210300,3,,867856,Citizens State Bank,,,-1,-1,1129065,,-1,,2021,4,549300B3BEP9WW99IR76,3,Citizens State Bank,WI,Hudson,54016-0247,168
2021,549300NTQ8BOK9455W21,42-1295369,7,42-1295369,4183581,"RESIDENTIAL MORTGAGE NETWORK, INC.",IA,CORALVILLE,-1,3,-1,,-1,,2021,4,549300NTQ8BOK9455W21,7,"Residential Mortgage Network, Inc.",IA,Iowa City,52245,720
2021,254900ZBZ4M7TCGJWL09,59-6140072,5,824493,824493,FL. Dept. of Transportation Credit Union,FL,Tallahassee,50337,0,-1,,-1,,2021,4,254900ZBZ4M7TCGJWL09,5,FL Dept. of Transportation Credit Union,FL,Tallahassee,32301,15
2021,549300GJI4B01Z3NJL65,91-1441009,7,3878451,3878451,MORTGAGE MASTER SERVICE CORPORATION,WA,KENT,-1,3,-1,,-1,,2021,4,549300GJI4B01Z3NJL65,7,Mortgage Master Service Corporation,WA,Kent,98032,1597
2021,549300JRDBJ5RPA6TY76,36-1226570,3,568135,568135,Holcomb Bank,IL,Rochelle,191693,0,1245563,,1245563,"HOLCOMB BANCORP, INC.",2021,4,549300JRDBJ5RPA6TY76,3,Holcomb Bank,IL,Rochelle,61068,444
2021,549300KST6N97GYH0O45,75-1630026,2,965789,965789,Susser Bank,TX,Bedford,973107,-1,3823291,,5189450,"SBH MANAGER, LLC",2021,4,549300KST6N97GYH0O45,2,Susser Bank,TX,Arlington,76015,1077
2021,2549008XU46NWFIFUY72,75-1702603,3,,552974,"Shelby Savings Bank, SSB",,,-1,-1,2960630,,-1,,2021,4,2549008XU46NWFIFUY72,3,Shelby,TX,Center,75935,322
2021,549300A76WI58XAFNF59,86-0098350,5,766995,766995,ARIZONA CENTRAL,AZ,Phoenix,525110,0,-1,,-1,,2021,4,549300A76WI58XAFNF59,5,ARIZONA CENTRAL CREDIT UNION,AZ,PHOENIX,85004,1521
2021,549300SICEH17XJOAN86,31-4176480,1,666974,666974,Fairfield Federal Savings and Loan Association of Lancaster,OH,Lancaster,264280,0,-1,,-1,,2021,4,549300SICEH17XJOAN86,1,Fairfield Federal Savings & Loan Association of Lancaster,OH,Lancaster,43130,374
2021,549300VHBALPLHRR4080,75-1952906,3,575254,575254,City Bank,TX,Lubbock,3235138,0,2033226,,3382332,"SOUTH PLAINS FINANCIAL, INC. EMPLOYEE STOCK OWNERSHIP PLAN",2021,4,549300VHBALPLHRR4080,3,CITY BANK,TX,LUBBOCK,79408,7229
