activity_year_x,lei,tax_id,agency_code_x,id_2017,respondent_rssd,respondent_name_x,respondent_state_x,respondent_city_x,assets,other_lender_code,parent_rssd,parent_name,topholder_rssd,topholder_name,activity_year_y,calendar_quarter,agency_code_y,respondent_name_y,respondent_state_y,respondent_city_y,respondent_zip_code,lar_count
2023,5493003GQDUH26DNNH17,53-0116705,9,617677,617677,NAVY FEDERAL CREDIT UNION,VA,Vienna,156645099,0,-1,,-1,,2023,4,9,Navy Federal Credit Union,VA,Vienna,22180,173415
2023,549300KHXD7JSQUZIJ22,75-2269700,7,4437770,4437770,"HIGHLANDS RESIDENTIAL MORTGAGE, LTD.",TX,Dallas,-1,3,-1,,-1,,2023,4,7,"Highlands Residential Mortgage, Ltd.",TX,Allen,75013,9396
2023,5493001SXWZ4OFP8Z903,74-2853239,7,3332551,3332551,"DHI MORTGAGE COMPANY, LTD.",TX,DALLAS,-1,2,-1,,-1,,2023,4,7,DHI Mortgage Company Limited,TX,Austin,78750,84937
2023,549300KILAW2M87QR043,35-1049024,5,33389,33389,INDIANA STATE UNIVERSITY FEDERAL CREDIT UNION,IN,Terre Haute,131713,0,-1,,-1,,2023,4,5,Indiana State University FCU,IN,Terre Haute,47807,96
2023,7H6GLXDRUGQFU57RNE97,13-4994650,9,852218,852218,"JPMorgan Chase Bank, National Association",OH,Columbus,3201942000,0,1039502,JPMORGAN CHASE & CO.                                                                                                    ,1039502,JPMORGAN CHASE & CO.                                                                                                    ,2023,4,9,"JPMorgan Chase Bank, NA",OH,Columbus,43240,245494
2023,DRMSV1Q0EKMEXLAU1P80,20-2635739,9,3303298,3303298,"Citizens Bank, National Association",RI,Providence,226401591,0,1132449,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",2023,4,9,CBNA Year to Date,RI,Providence,02903,144132
2023,254900UL88QFG0E40516,82-4227262,7,,-1,FIGURE LENDING LLC,DE,Wilmington,-1,3,-1,,-1,,2023,4,7,FIGURE LENDING LLC,CA,SAN FRANCISCO,94108,73301
2023,03D0JEWFDFUS0SEEKG89,01-0137770,9,,497404,"TD Bank, National Association",DE,Wilmington,386799237,0,1249196,TD BANK US HOLDING COMPANY,1238565,"TORONTO-DOMINION BANK, THE                                                                                              ",2023,4,9,TD Bank,NJ,Mount Laurel,08054,62083
2023,5493001XP7X9J8PCH525,20-8866792,3,,3629420,Southern States Bank,AL,Anniston,2048225,0,3818381,"SOUTHERN STATES BANCSHARES, INC.",3818381,"SOUTHERN STATES BANCSHARES, INC.",2023,4,3,Southern States Bank,GA,Dallas,30157,163
2023,5493005QU87D4OE5GZ21,74-0619680,3,444350,444350,First Texas Bank,TX,Georgetown,957622,0,1100813,"FIRST TEXAS BANCORP, INC.                                                                                               ",1100813,"FIRST TEXAS BANCORP, INC.                                                                                               ",2023,4,3,First Texas Bank,TX,Georgetown,78626,43
