source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,1003790,USE CREDIT UNION,Credit Union,,1003790.0,U. S. EMPLOYEES
1.0,100393,FRANKENMUTH CREDIT UNION,Credit Union,,100393.0,FRANKENMUTH
3.0,100571,DEPARTMENT OF LABOR FCU,Credit Union,,100571.0,DEPT OF LABOR
1.0,1025608,FIRST HAWAIIAN INC,BHC,,,
3.0,1026801,FREMONT BANCORPORATION,BHC,,,
3.0,1027004,ZIONS BC,BHC,,,
1.0,1030040,BANK OF CMRC HOLD,BHC,,,
1.0,1030170,TRICO BANCSHARES,BHC,,,
2.0,1031449,SVB FINANCIAL GROUP,BHC,,,
1.0,1031588,LEARNER FC,BHC,,,
1.0,1037003,M&T BANK CORPORATION,BHC,,,
1.0,1039502,JPMORGAN CHASE & CO,BHC,,,
1.0,1048513,TRUSTCO BANK CORP NY,BHC,,,
2.0,1048728,BALLSTON SPA BANCORP INC,BHC,,,
1.0,1048773,VALLEY NATIONAL BANCORP,BHC,,,
3.0,1048867,COMMUNITY BANK SYSTEM INC,BHC,,,
1.0,1048894,FIRST OF LONG ISLAND CORPORATION THE,BHC,,,
1.0,1049828,UMB FINANCIAL CORPORATION,BHC,,,
1.0,1057962,QUAIL CREEK BANCSHARES INC,BHC,,,
1.0,1057980,ARKANSAS VALLEY BANCSHARES INC,BHC,,,
3.0,1062135,SPIRIT BANKCORP INC,BHC,,,
1.0,1064278,INTRUST FINANCIAL CORPORATION,BHC,,,
1.0,1068025,KEYCORP,BHC,,,
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,BHC,,,
1.0,1069778,PNC FINANCIAL SERVICES GROUP INC THE,BHC,,,
1.0,1070345,FIFTH THIRD BANCORP,BHC,,,
1.0,1070448,WESBANCO INC,BHC,,,
1.0,1070644,COMMUNITY TRUST BANCORP INC,BHC,,,
1.0,1070804,FIRSTMERIT CORP,No Match,,,
1.0,1073757,BANK OF AMERICA CORPORATION,BHC,,,
1.0,1074156,BB&T CORPORATION,BHC,,,
1.0,1076208,YORK BANCSHARES INC,BHC,,,
1.0,1076673,OLD POINT FINANCIAL CORPORATION,BHC,,,
1.0,1076703,VIRGINIA COMMUNITY BANKSHARES INC,BHC,,,
1.0,1078846,SYNOVUS FINANCIAL CORP,BHC,,,
1.0,1079562,TRUSTMARK CORPORATION,BHC,,,
1.0,1080803,VOLUNTEER STATE BANCSHARES INC,BHC,,,
1.0,1082067,AMERIS BANCORP,BHC,,,
1.0,1084511,COMMUNITY BK OF S FL,No Match,,,
1.0,1085460,CLINTON BANCSHARES INC,BHC,,,
1.0,1086533,HANCOCK WHITNEY CORPORATION,BHC,,,
1.0,1094314,CENTRAL BANCOMPANY INC,BHC,,,
1.0,1094613,DELTA BANCSHARES COMPANY,BHC,,,
1.0,1094640,FIRST HORIZON CORPORATION,BHC,,,
1.0,1094828,SIMMONS FIRST NATIONAL CORPORATION,BHC,,,
3.0,1095674,ARVEST BANK GROUP INC,BHC,,,
1.0,1095722,TOWN & COUNTRY BANCSHARES INC,BHC,,,
1.0,1095843,MAGNOLIA BANCSHARES INC,BHC,,,
3.0,1095889,FIRST ILLINOIS BANCORP INC,BHC,,,
1.0,1097025,REPUBLIC BANCORP INC,BHC,,,
1.0,1098303,OLD NATIONAL BANCORP,BHC,,,
1.0,1099896,MOSCOW BANCSHARES INC,BHC,,,
1.0,1099917,FIRST STATE BANCSHARES INC,BHC,,,
3.0,1101726,TEXAS GULF BANCSHARES INC,BHC,,,
1.0,1103391,COMMERCE BANCSHARES INC,BHC,,,
1.0,1104567,CENDERA FINANCIAL HOLDINGS INC,BHC,,,
1.0,1107184,SOUTHERN BANCSHARES INC,BHC,,,
3.0,1109553,VAN ALSTYNE FINANCIAL CORPORATION,BHC,,,
1.0,1109599,PROSPERITY BANCSHARES INC,BHC,,,
1.0,1116609,UNIVEST FINANCIAL CORPORATION,BHC,,,
1.0,1118948,COMMONWEALTH BANCSHARES INC,BHC,,,
2.0,1119794,US BANCORP,BHC,,,
1.0,1120754,WELLS FARGO & COMPANY,BHC,,,
3.0,1123670,FIRST INTERSTATE BANCSYSTEM INC,BHC,,,
1.0,1129382,POPULAR INC,BHC,,,
1.0,1129690,TRIAD BANCSHARES INC,BHC,,,
1.0,1131497,SMARTFINANCIAL INC,BHC,,,
1.0,1131602,DEVON BANCORP INC,BHC,,,
1.0,1131787,SUNTRUST BANKS INC,BHC,,,
1.0,1133428,QUINLAN BANCSHARES INC,BHC,,,
1.0,1133503,CANANDAIGUA NATIONAL CORPORATION,BHC,,,
1.0,1134564,FIRST INDEPENDENCE CORPORATION,BHC,,,
1.0,1136577,MACON BANCTRUST INC,BHC,,,
1.0,1136661,OCEAN BANKSHARES INC,BHC,,,
3.0,1137453,FORESIGHT FINANCIAL GROUP INC,BHC,,,
3.0,113777,ADVANCIAL FEDERAL CREDIT UNION,Credit Union,,113777.0,ADVANCIAL
1.0,1138393,WARREN COUNTY BANCSHARES INC,BHC,,,
2.0,1139279,NBT BANCORP INC,BHC,,,
3.0,1139345,TRICOUNTY FINANCIAL GROUP INC,BHC,,,
1.0,1139541,PEOPLES FINANCIAL SERVICES CORPORATION,BHC,,,
1.0,1145476,WEBSTER FINANCIAL CORPORATION,BHC,,,
1.0,1199563,ASSOCIATED BANCCORP,BHC,,,
1.0,1199844,COMERICA INCORPORATED,BHC,,,
1.0,1201671,BTC FINANCIAL CORPORATION,BHC,,,
1.0,1201934,TCF FINANCIAL CORPORATION,BHC,,,
1.0,1203602,FIRST BUSEY CORPORATION,BHC,,,
1.0,1204560,FIRST BANCSHARES INC,BHC,,,
3.0,1205585,FREEPORT BANCSHARES INC,BHC,,,
1.0,1206546,HEARTLAND FINANCIAL USA INC,BHC,,,
3.0,1206603,MANHATTAN BANCSHARES INC,BHC,,,
1.0,1206760,FIRST MID BANCSHARES INC,BHC,,,
1.0,1208184,FIRST MIDWEST BANCORP INC,BHC,,,
1.0,1208559,FIRST MERCHANTS CORPORATION,BHC,,,
1.0,1208906,LAKELAND FINANCIAL CORPORATION,BHC,,,
1.0,1209136,HORIZON BANCORP INC,BHC,,,
3.0,1210749,MSB BANCORPORATION INC,BHC,,,
2.0,1231333,BANK OF MONTREAL,No Match,,,
1.0,1231968,BNP PARIBAS,No Match,,,
1.0,1232497,ROYAL BANK OF CANADA,No Match,,,
1.0,1238565,TORONTODOMINION BANK THE,No Match,,,
1.0,1239254,BANCO SANTANDER SA,No Match,,,
1.0,1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,No Match,,,
1.0,1245705,WEST SUBURBAN BANCORP INC,BHC,,,
1.0,1246467,TAMPA BAY BKG CO,BHC,,,
2.0,1248304,SANDY SPRING BANCORP INC,BHC,,,
1.0,1250099,SEMPERVERDE HOLDING CO,No Match,,,
1.0,129787,FORT LEE FEDERAL CREDIT UNION,Credit Union,,129787.0,HOMEBASE
1.0,131780,HOPEWELL FEDERAL CU,Credit Union,,131780.0,HOPEWELL
1.0,1391237,BANCO BILBAO VIZCAYA ARGENTARIA SA,No Match,,,
3.0,1404735,PTB CORPORATION,BHC,,,
1.0,1404799,LAKELAND BANCORP INC,BHC,,,
1.0,1427444,GREAT LAKES FNCL RESRCS ESOP,No Match,,,
1.0,146579,DOWNRIVER COMMUNITY FEDERAL CU,Credit Union,,146579.0,DOWNRIVER COMMUNITY
1.0,148498,PEOPLE DRIVEN CREDIT UNION,Credit Union,,148498.0,PEOPLE DRIVEN
1.0,1490701,JOHNSON FINANCIAL GROUP INC,BHC,,,
2.0,1491351,MIDLAND STATES BANCORP INC,BHC,,,
2.0,1491717,FARMINGTON BANCORP INC,BHC,,,
1.0,1491904,ROYAL BANCSHARES INC,BHC,,,
3.0,1493319,GATEWAY BANK FSB,Call_Parent,,,
2.0,1496253,UNIVERSITY BANCORP INC,BHC,,,
1.0,1562859,ALLY FINANCIAL INC,BHC,,,
1.0,156774,UNITY CATHOLIC FCU,Credit Union,,156774.0,UNITY CATHOLIC
2.0,1583836,MUTUAL OF OMAHA INSURANCE COMPANY,No Match,,,
1.0,1647970,CREDIT SUISSE GROUP AG,No Match,,,
3.0,172886,FRONT ROYAL FCU,Credit Union,,172886.0,FRONT ROYAL
3.0,175980,PURDUE FEDERAL CREDIT UNION,Credit Union,,175980.0,PURDUE
3.0,1848003,CASCADE BC,No Match,,,
3.0,18489,APL FEDERAL CREDIT UNION,Credit Union,,18489.0,APL
3.0,1860863,CBX CORPORATION,BHC,,,
1.0,1862036,GUARANTY BANCSHARES INC,BHC,,,
1.0,1866155,PEOPLESSOUTH BANCSHARES INC,BHC,,,
1.0,1885307,ORIGIN BANCORP INC,BHC,,,
1.0,1902651,MERIDIAN BANCORP INC,BHC,,,
2.0,1951350,CITIGROUP INC,BHC,,,
1.0,1971693,ATLANTIC UNION BANKSHARES CORPORATION,BHC,,,
1.0,198390,TEAM ONE CREDIT UNION,Credit Union,,198390.0,TEAM ONE
2.0,2016340,FIRST COMMUNITY BANCORP INC,BHC,,,
3.0,2022734,MERCHANTS AND MANUFACTURERS BANK CORPORATION,BHC,,,
1.0,2038409,HAWTHORN BANCSHARES INC,BHC,,,
3.0,2072793,COMMUNITY BANCSHARES EMPLOYEE STOCK OWNERSHIP PLAN,No Match,,,
3.0,2078816,COLUMBIA BANKING SYSTEM INC,BHC,,,
3.0,2126977,BANNER CORPORATION,BHC,,,
1.0,2127068,ALLIANCE BANCSHARES INC,BHC,,,
1.0,2162966,MORGAN STANLEY,BHC,,,
1.0,2260406,WINTRUST FINANCIAL CORPORATION,BHC,,,
1.0,2264404,NEXTIER INCORPORATED,BHC,,,
1.0,2277860,CAPITAL ONE FINANCIAL CORPORATION,BHC,,,
1.0,2291914,IBERIABANK CORPORATION,BHC,,,
2.0,2337081,PASSUMPSIC BANCORP,BHC,,,
1.0,2349815,WESTERN ALLIANCE BANCORPORATION,BHC,,,
1.0,2360043,LAKE ELMO BANCSHARES INC,BHC,,,
3.0,2360454,STOCKMENS FINANCIAL CORPORATION,BHC,,,
1.0,2380443,GOLDMAN SACHS GROUP INC THE,BHC,,,
1.0,2393274,FLUSHING FINANCIAL CORPORATION,BHC,,,
1.0,2402813,MAGNOLIA BANCORP INC,BHC,,,
1.0,240486,SKYPOINT FEDERAL CREDIT UNION,Credit Union,,240486.0,SKYPOINT
3.0,2453084,H BC LLC,BHC,,,
1.0,2461463,SB ONE BANCORP,BHC,,,
1.0,2490575,OFG BANCORP,BHC,,,
1.0,2494153,HOMETOWN FINANCIAL GROUP INC,BHC,,,
1.0,2495039,TAYLOR CAP GRP,No Match,,,
2.0,2507790,CAROLINA FINANCIAL CORPORATION,BHC,,,
3.0,2510192,IRONSTONE BANK,No Match,,,
1.0,2523389,COMMUNITY FINANCIAL CORPORATION THE,BHC,,,
1.0,2533100,ALIKAT INV,BHC,,,
1.0,2539081,SHORE COMMUNITY BANK,Call_Parent,,,
3.0,2571120,COLUMBIA BANK MHC,BHC,,,
2.0,2582827,NORTHWAY FINANCIAL INC,BHC,,,
1.0,2589732,KINDERHOOK BANK CORP,BHC,,,
1.0,2609975,OCEANFIRST FINANCIAL CORP,BHC,,,
2.0,2623430,NARRAGANSETT FINANCIAL CORP,BHC,,,
1.0,2630746,UNITY BANCSHARES LLC,BHC,,,
1.0,2648693,FIRST NIAGARA FNCL GROUP,No Match,,,
2.0,269393,MILLBURY FEDERAL CREDIT UNION,Credit Union,,269393.0,MILLBURY
1.0,2706735,TEXAS CAPITAL BANCSHARES INC,BHC,,,
1.0,271695,SCHOOL EMPL LORAIN CTY CU,Credit Union,,271695.0,ACHIEVE
3.0,2734064,INDEPENDENT ALLIANCE BANKS INC,No Match,,,
2.0,2734233,EAST WEST BANCORP INC,BHC,,,
1.0,2737814,NORTHPOINTE BANCSHARES INC,BHC,,,
1.0,2745604,TOWER FC,No Match,,,
3.0,2747644,UMPQUA HOLDINGS CORPORATION,BHC,,,
1.0,2751388,SOMERSET HILLS BANK,No Match,,,
3.0,2762973,PACIFIC CONTINENTAL CORP,No Match,,,
1.0,2777650,METLIFE BANK NA,No Match,,,
1.0,2784920,1ST CONSTITUTION BANCORP,BHC,,,
1.0,2816474,CENTRIX B&TC,No Match,,,
1.0,2833891,EMPRESAS JUAN YARUR SPA,No Match,,,
