source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME,notice,name,entity,permco,dt_start,dt_end
1.0,1025608,FIRST HAWAIIAN INC,BHC,1025608,,,,Bancwest Corporation,1025608,1718,19860630,20011231
1.0,1025608,FIRST HAWAIIAN INC,BHC,1025608,,,,"First Hawaiian, Inc.",1025608,55670,20160804,20161231
3.0,1027004,ZIONS BC,BHC,1027004,,,,Zions Bancorporation,1027004,5057,19860630,20161231
1.0,1030040,BANK OF CMRC HOLD,BHC,1030040,,,,Bank Of Commerce Holdings,1030040,45295,20040630,20161231
1.0,1030170,TRICO BANCSHARES,BHC,1030170,,,,Trico Bancshares,1030170,12086,19930430,20161231
2.0,1031449,SVB FINANCIAL GROUP,BHC,1031449,,,,Svb Financial Group,1031449,9588,19871030,20161231
1.0,1037003,M&T BANK CORPORATION,BHC,1037003,,,,M&T Bank Corporation,1037003,1689,19860630,20161231
1.0,1039502,JPMORGAN CHASE & CO,BHC,1039502,,,,Jpmorgan Chase & Co.,1039502,20436,19860630,20161231
1.0,1048513,TRUSTCO BANK CORP NY,BHC,1048513,,,,Trustco Bank Corp Ny,1048513,5926,19860630,20161231
1.0,1048773,VALLEY NATIONAL BANCORP,BHC,1048773,,,,Valley National Bancorp,1048773,4818,19860630,20161231
3.0,1048867,COMMUNITY BANK SYSTEM INC,BHC,1048867,,,,"Community Bank System, Inc.",1048867,7871,19860630,20161231
1.0,1048894,FIRST OF LONG ISLAND CORPORATION THE,BHC,1048894,,,,"First Of Long Island Corporation, The",1048894,8879,19870130,20161231
1.0,1049828,UMB FINANCIAL CORPORATION,BHC,1049828,,,,Umb Financial Corporation,1049828,4673,19860630,20161231
1.0,1068025,KEYCORP,BHC,1068025,,,,Keycorp,1068025,2535,19940302,20161231
1.0,1068025,KEYCORP,BHC,1068025,,,,Society Corp,1068025,4183,19860630,19940301
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,BHC,1068191,,,,Huntington Bancshares Incorporated,1068191,2093,19860630,20161231
1.0,1069778,PNC FINANCIAL SERVICES GROUP INC THE,BHC,1069778,,,,"Pnc Financial Services Group, Inc., The",1069778,3685,19860630,20161231
1.0,1070345,FIFTH THIRD BANCORP,BHC,1070345,,,,Fifth Third Bancorp,1070345,1741,19860630,20161231
1.0,1070448,WESBANCO INC,BHC,1070448,,,,"Wesbanco, Inc.",1070448,9147,19870529,20161231
1.0,1070644,COMMUNITY TRUST BANCORP INC,BHC,1070644,,,,"Community Trust Bancorp, Inc.",1070644,9645,19871231,20161231
1.0,1070804,FIRSTMERIT CORP,No Match,1070804,,,,Firstmerit Corporation,1070804,5259,19860630,20160815
1.0,1073757,BANK OF AMERICA CORPORATION,BHC,1073757,,,,Bank Of America Corporation,1073757,3151,19860630,20161231
1.0,1074156,BB&T CORPORATION,BHC,1074156,,,,Bb&T Corporation,1074156,4163,19860630,20161231
1.0,1076673,OLD POINT FINANCIAL CORPORATION,BHC,1076673,,,,Old Point Financial Corporation,1076673,37177,20000428,20161231
1.0,1078846,SYNOVUS FINANCIAL CORP,BHC,1078846,,,,Synovus Financial Corp.,1078846,781,19860630,20161231
1.0,1079562,TRUSTMARK CORPORATION,BHC,1079562,,,,Trustmark Corporation,1079562,1658,19860630,20161231
1.0,1082067,AMERIS BANCORP,BHC,1082067,,,,Ameris Bancorp,1082067,13092,19940531,20161231
1.0,1086533,HANCOCK WHITNEY CORPORATION,BHC,1086533,,,,Hancock Holding Company,1086533,10954,19910628,20161231
1.0,1094640,FIRST HORIZON CORPORATION,BHC,1094640,,,,First Horizon National Corporation,1094640,1856,19860630,20161231
1.0,1094828,SIMMONS FIRST NATIONAL CORPORATION,BHC,1094828,,,,Simmons First National Corporation,1094828,7460,19860630,20161231
1.0,1097025,REPUBLIC BANCORP INC,BHC,1097025,,,,"Republic Bancorp, Inc.",1097025,16222,19980731,20161231
1.0,1098303,OLD NATIONAL BANCORP,BHC,1098303,,,,Old National Bancorp,1098303,7067,19860630,20161231
1.0,1109599,PROSPERITY BANCSHARES INC,BHC,1109599,,,,"Prosperity Bancshares, Inc.",1109599,16313,19981130,20161231
1.0,1116609,UNIVEST FINANCIAL CORPORATION,BHC,1116609,,,,Univest Corporation Of Pennsylvania,1116609,44293,20030829,20161231
2.0,1119794,US BANCORP,BHC,1119794,,,,U.S. Bancorp,1119794,1645,19860630,20161231
1.0,1120754,WELLS FARGO & COMPANY,BHC,1120754,,,,Wells Fargo & Company,1120754,21305,19860630,20161231
