source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,1070804,FIRSTMERIT CORP,No Match,,,
1.0,1084511,COMMUNITY BK OF S FL,No Match,,,
2.0,1231333,BANK OF MONTREAL,No Match,,,
1.0,1231968,BNP PARIBAS,No Match,,,
1.0,1232497,ROYAL BANK OF CANADA,No Match,,,
1.0,1238565,TORONTODOMINION BANK THE,No Match,,,
1.0,1239254,BANCO SANTANDER SA,No Match,,,
1.0,1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,No Match,,,
1.0,1250099,SEMPERVERDE HOLDING CO,No Match,,,
1.0,1391237,BANCO BILBAO VIZCAYA ARGENTARIA SA,No Match,,,
1.0,1427444,GREAT LAKES FNCL RESRCS ESOP,No Match,,,
2.0,1583836,MUTUAL OF OMAHA INSURANCE COMPANY,No Match,,,
1.0,1647970,CREDIT SUISSE GROUP AG,No Match,,,
3.0,1848003,CASCADE BC,No Match,,,
3.0,2072793,COMMUNITY BANCSHARES EMPLOYEE STOCK OWNERSHIP PLAN,No Match,,,
1.0,2495039,TAYLOR CAP GRP,No Match,,,
3.0,2510192,IRONSTONE BANK,No Match,,,
1.0,2648693,FIRST NIAGARA FNCL GROUP,No Match,,,
3.0,2734064,INDEPENDENT ALLIANCE BANKS INC,No Match,,,
1.0,2745604,TOWER FC,No Match,,,
1.0,2751388,SOMERSET HILLS BANK,No Match,,,
3.0,2762973,PACIFIC CONTINENTAL CORP,No Match,,,
1.0,2777650,METLIFE BANK NA,No Match,,,
1.0,2816474,CENTRIX B&TC,No Match,,,
1.0,2833891,EMPRESAS JUAN YARUR SPA,No Match,,,
1.0,312299,COMMUNITY ALLIANCE CREDIT UNION,No Match,,,
3.0,3149012,BILTMORE BK OF ARIZONA,No Match,,,
1.0,3221217,DCB FC,No Match,,,
1.0,3248513,WILSHIRE BC,No Match,,,
1.0,3339046,STONEGATE BANK,No Match,,,
1.0,3353837,PILOT POINT BANCORP INC ESOP,No Match,,,
3.0,3447875,PLAZA BANK,No Match,,,
3.0,3466456,NHB HOLD,No Match,,,
1.0,3488289,COMMUNITY BANCSHARES OF KANSAS INC,No Match,,,
1.0,3541483,AVENUE FNCL HOLD,No Match,,,
1.0,3551361,HERITAGE BC,No Match,,,
1.0,3560756,COLLIN BANK,No Match,,,
3.0,3609682,TALMER BC,No Match,,,
3.0,36483,VANTRIA FEDERAL CREDIT UNION,No Match,,,
1.0,3792687,TIAA BOARD OF OVERSEERS,No Match,,,
3.0,3823031,SWS GRP,No Match,,,
1.0,3846601,FOX CHASE BC,No Match,,,
1.0,3869806,DIRECT MORTGAGE CORPORATION,No Match,,,
1.0,3870679,ROCKET MORTGAGE,No Match,,,
2.0,3873401,PHH HOME LOANS,No Match,,,
1.0,3875179,SIERRA PACIFIC MORTGAGE CO INC,No Match,,,
3.0,3875713,SUN WEST MORTGAGE COMPANY INC,No Match,,,
1.0,3881732,THE MONEY SOURCE,No Match,,,
1.0,3882515,FIRST GUARANTY MORTGAGE CORPORATION,No Match,,,
1.0,3919756,GEORGETOWN BANCORP INC,No Match,,,
1.0,3949593,NEWREZ LLC,No Match,,,
1.0,3952191,360 MORTGAGE GROUP LLC,No Match,,,
3.0,3955491,PACIFIC UNION FINANCIAL LLC,No Match,,,
1.0,3975770,CARLILE BANCSHARES INC,No Match,,,
1.0,4156679,CAPGEN CAPITAL GROUP VI LLC,No Match,,,
1.0,4199229,WOODFOREST FINANCIAL GROUP INC,No Match,,,
1.0,4224000,MP (THRIFT) LLC,No Match,,,
1.0,4231585,SP BC,No Match,,,
3.0,4265740,SHIRLEY E HICKMAN TR,No Match,,,
2.0,4320256,SEFCU SERVICES LLC,No Match,,,
1.0,4323912,SWBC MORTGAGE CORPORATION,No Match,,,
1.0,4434443,LAPORTE BC,No Match,,,
3.0,474487,ENTRUST FINANCIAL CREDIT UNION,No Match,,,
1.0,4795461,UBS GROUP AG,No Match,,,
1.0,4970802,SLHC TRUST THE,No Match,,,
1.0,5165070,PB FINANCIAL CORPORATION,No Match,,,
1.0,5213690,DIAMOND HTH STOCK COMPANY GP LLC,No Match,,,
1.0,5331286,PLAINS COMMERCE FINANCIAL INC,No Match,,,
1.0,73376,FDIC FCU,No Match,,,
1.0,742793,COMMUNITY DRIVEN CREDIT UNION,No Match,,,
3.0,802370,ENERGY FEDERAL CREDIT UNION,No Match,,,
3.0,971986,REACH FEDERAL CREDIT UNION,No Match,,,
