source,id,lender_TopName
2.0,f1,1/0 HOLDCO LLC
1.0,f10,ACRE HOLDINGS LLC
1.0,f100,CB LENDING
3.0,f101,CB&T SYNOVUS
1.0,f102,CBBC
1.0,f1020117,FEDERAL HOME LOAN BANK CHICAGO
1.0,f103,CBT
1.0,f104,CDCU
1.0,f105,CDFI BOND
3.0,f106,CENCORP
1.0,f107,CENTAL STATES BANK
1.0,f108,CENTRAL BANK
1.0,f108586,TRANSIT FEDERAL CREDIT UNION
1.0,f109,CIS INFO SERVICES LLC
1.0,f11,AFFILIATE CREDIT UNIONS
1.0,f110,CITADEL
1.0,f111,CITIZENS BANK
3.0,f112,CITIZENS BANK & TRUST
1.0,f113,CITIZENS BANK & TRUST COMPANY
1.0,f114,CITIZENS STATE BANK
1.0,f115,CITY NATIONAL BANK
1.0,f116,CITY OF TALLAHASSEE
1.0,f117,CJM LB LLC AND JS LB LLC
1.0,f118,CLEAR FUNDING
2.0,f119,CLEAR HAVEN INVESTMENT FUND LP
1.0,f119180,TOLEDO METRO FEDERAL CREDIT UNION
1.0,f12,AFFILIATE OF CREDIT
1.0,f120,CLEAR TO CLOSE SOLUTION
3.0,f121,CMFBV
1.0,f122,CMG
1.0,f123,CMH INC
1.0,f124,CNL BANK
1.0,f1245796,"ROYAL BANK OF SCOTLAND GROUP PLC, THE"
1.0,f125,COASLTINE FEDERAL CREDIT UNION
1.0,f126,COAST2COAST MORTGAGE LLC
1.0,f127,COASTAL BANK
1.0,f1275216,AMERICAN EXPRESS COMPANY
1.0,f128,COASTAL SAVINGS BANK
3.0,f129,COFED (PROVIDENT FUNDING)
1.0,f13,AFL
1.0,f130,COLE MORTGAGE MORTGAGE
1.0,f131,COMM
1.0,f132,COMMERCE BANK
1.0,f133,COMMERCIAL BANK
1.0,f134,COMMUNITY BANK
3.0,f135,COMMUNITY CAPITAL
1.0,f136,COMPEER
1.0,f137,COMPUTERSHARE LIMITED
1.0,f138,CONCORD FINANCIAL
3.0,f139,COOPER RIVER
1.0,f14,AFR
1.0,f140,COSTAL BANK
1.0,f141,CPPIB CREDIT INVESTORS
1.0,f143,CREDIT UNION
1.0,f144,CREDIT UNION STRUCTURED FINANCE
1.0,f145,CSC CAPTAIL CORPORATION
3.0,f146,CSC FCU
1.0,f147,CTB
1.0,f148,CTIBANK
1.0,f149,CUSTOMERS BANK OF NEW JERSEY
3.0,f15,AGATE CAPITAL
1.0,f150,DCP
1.0,f151,DEER VALLEY FINANCIAL
1.0,f152,DELL BUSINESS CREDIT
1.0,f153,DESERT MESA
1.0,f154,DIRECT FUNDING LLC
1.0,f1543595,FIRST CONTINENTAL REAL ESTATE INVESTMENT TRUST
1.0,f155,DISCOVER
1.0,f156,DM CREDIT 2 LLC
1.0,f157,DNA
1.0,f158,DOUGLAS CATON
1.0,f159,DUN AND BRADSTREET
3.0,f16,ALBINA BANK
1.0,f160,DUNNLW
1.0,f161,E2 LENDING
1.0,f162,EAGLE BANK
3.0,f163,EARNEST OPERATIONS LLC
3.0,f1631885,FIRST GUARANTY MORTGAGE CORPORATION
1.0,f164,EB
1.0,f165,ECN CAPITAL CORP
1.0,f166,EDWARD C YIM
1.0,f167,EF HOLDCO INC
1.0,f168,ELECTRO
1.0,f169,ELLINGTON FINANCIAL
1.0,f169680,WESTAR FEDERAL CREDIT UNION
1.0,f17,ALEXANDRA PEREZ
2.0,f170,EMIGRANT BANK
1.0,f171,ENTERPRISE BANK
1.0,f172,EQUIFAX MORTGAGE SOLUTIONS
1.0,f173,EQUITY LOANS
1.0,f174,ERIC ENDE
1.0,f175,ERNESTO ROSTOKER
3.0,f176,EXCEL MORTGAGE SERVICING INC
3.0,f177,F
1.0,f178,F&M BANK
1.0,f179,FANDM
3.0,f18,ALIANCE
3.0,f180,FANNIE MAE
1.0,f181,FARM & MERCH
1.0,f182,FARMERS & MERCHANTS BANK
1.0,f183,FARMERS & MERCHANTS STATE BANK
3.0,f184,FARMERS AND MERCHANTS BANK
1.0,f185,FBF
1.0,f186,FBNLI
2.0,f187,FCM
1.0,f188,FIDELITY SAVINGS BANK
1.0,f189,FIDELITY STATE BANK
1.0,f19,ALIVIO HOLDINGS LLC
1.0,f190,FIGURE ASSET FUNDING TRUST I
1.0,f191,FIR
1.0,f192,FIRS TRUST BANK
1.0,f193,FIRST
1.0,f194,FIRST AMERICAN
1.0,f195,FIRST BANK
1.0,f196,FIRST BANK & TRUST
3.0,f196387,MONEY ONE FEDERAL CREDIT UNION
1.0,f197,FIRST BANK AND TRUST
1.0,f1973138,WEDBUSH ASSOCIATES
3.0,f198,FIRST BANK OF FLORIDA
3.0,f199,FIRST BANK OF TENNESSEE
1.0,f2,1ST COMMUNITY
1.0,f20,ALLIANCE CAPITAL BANK
1.0,f200,FIRST CITIZENS BANK
1.0,f201,FIRST COMMUNITY
1.0,f202,FIRST COMMUNITY BANK OF BEDFORD COUNTY
1.0,f203,FIRST COMMUNITY MORTGAGE
3.0,f204,FIRST CUSTOMERS BANK OF LONG ISLAND
3.0,f2046020,JEFFERIES FUNDING LLC
1.0,f205,FIRST FEDERAL CREDIT
1.0,f206,FIRST FEDERAL SAVINGS BANK
1.0,f207,FIRST FEDERAL SAVINGS BANK OF FLORIDA
1.0,f208,FIRST FUNDING LLC
