source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME
1.0,1003790,USE CREDIT UNION,Credit Union,,1003790.0,U. S. EMPLOYEES
1.0,100393,FRANKENMUTH CREDIT UNION,Credit Union,,100393.0,FRANKENMUTH
3.0,100571,DEPARTMENT OF LABOR FCU,Credit Union,,100571.0,DEPT OF LABOR
3.0,113777,ADVANCIAL FEDERAL CREDIT UNION,Credit Union,,113777.0,ADVANCIAL
1.0,129787,FORT LEE FEDERAL CREDIT UNION,Credit Union,,129787.0,HOMEBASE
1.0,131780,HOPEWELL FEDERAL CU,Credit Union,,131780.0,HOPEWELL
1.0,146579,DOWNRIVER COMMUNITY FEDERAL CU,Credit Union,,146579.0,DOWNRIVER COMMUNITY
1.0,148498,PEOPLE DRIVEN CREDIT UNION,Credit Union,,148498.0,PEOPLE DRIVEN
1.0,156774,UNITY CATHOLIC FCU,Credit Union,,156774.0,UNITY CATHOLIC
3.0,172886,FRONT ROYAL FCU,Credit Union,,172886.0,FRONT ROYAL
3.0,175980,PURDUE FEDERAL CREDIT UNION,Credit Union,,175980.0,PURDUE
3.0,18489,APL FEDERAL CREDIT UNION,Credit Union,,18489.0,APL
1.0,198390,TEAM ONE CREDIT UNION,Credit Union,,198390.0,TEAM ONE
1.0,240486,SKYPOINT FEDERAL CREDIT UNION,Credit Union,,240486.0,SKYPOINT
2.0,269393,MILLBURY FEDERAL CREDIT UNION,Credit Union,,269393.0,MILLBURY
1.0,271695,SCHOOL EMPL LORAIN CTY CU,Credit Union,,271695.0,ACHIEVE
1.0,290490,WINGS FINANCIAL CREDIT UNION,Credit Union,,290490.0,WINGS FINANCIAL
2.0,295981,WRIGHT PATMAN CONGRESSIONAL FEDERAL CREDIT UNION,Credit Union,,295981.0,WRIGHT PATMAN CONGRESSIONAL
3.0,306681,MARKET USA FEDERAL CREDIT UNION,Credit Union,,306681.0,MARKET USA
1.0,307697,GUARDIANS CREDIT UNION,Credit Union,,307697.0,GUARDIANS
1.0,324591,BEACON COMMUNITY CREDIT UNION,Credit Union,,324591.0,BEACON COMMUNITY
1.0,329587,BALTIMORE COUNTY EMPLOYEES CU,Credit Union,,329587.0,BALTIMORE COUNTY EMPLOYEES
1.0,335980,COMMUNITY FOCUS FEDERAL CREDIT UNION,Credit Union,,335980.0,COMMUNITY FOCUS
1.0,343088,CARTER FEDERAL CREDIT UNION,Credit Union,,343088.0,CARTER
3.0,344692,WESCOM CENTRAL CREDIT UNION,Credit Union,,344692.0,WESCOM CENTRAL
3.0,366573,ALASKA USA FEDERAL CREDIT UNION,Credit Union,,366573.0,GLOBAL
1.0,367392,ALLIANT CREDIT UNION,Credit Union,,367392.0,ALLIANT
3.0,368492,WRIGHTPATT CREDIT UNION INC,Credit Union,,368492.0,"WRIGHT-PATT CREDIT UNION, INC."
1.0,373795,USF FEDERAL CREDIT UNION,Credit Union,,373795.0,USF FEDERAL CREDIT UNION
3.0,416197,VERIDIAN CREDIT UNION,Credit Union,,416197.0,VERIDIAN
3.0,427287,DESCO FEDERAL CREDIT UNION,Credit Union,,427287.0,DESCO
3.0,443193,CREDIT UNION ONE,Credit Union,,443193.0,CREDIT UNION ONE
3.0,448077,TRUECORE FEDERAL CREDIT UNION,Credit Union,,448077.0,TRUECORE
1.0,472782,UMASSFIVE COLLEGE FEDERAL CREDIT UNION,Credit Union,,472782.0,UMASSFIVE COLLEGE
1.0,478672,ABD FEDERAL CREDIT UNION,Credit Union,,478672.0,A.B.D.
1.0,479585,PRINCE GEORGES COMMUNITY FCU,Credit Union,,479585.0,PRINCE GEORGE'S COMMUNITY
1.0,48879,CHIEF FINANCIAL FEDERAL CREDIT UNION,Credit Union,,48879.0,CHIEF FINANCIAL
1.0,499275,DEMOCRACY FEDERAL CREDIT UNION,Credit Union,,499275.0,DEMOCRACY
1.0,501794,DAY AIR CREDIT UNION,Credit Union,,501794.0,DAY AIR
1.0,524494,COMMUNITYAMERICA CREDIT UNION,Credit Union,,524494.0,COMMUNITYAMERICA
3.0,524775,TRANSPORTATION FCU,Credit Union,,524775.0,TRANSPORTATION
1.0,5292,LINCOLN PARK COMMUNITY CU,Credit Union,,5292.0,LINCOLN PARK COMMUNITY
3.0,54094,PREMIER FINANCIAL CREDIT UNION,Credit Union,,54094.0,PREMIER FINANCIAL
3.0,544474,FEDFINANCIAL FCU,Credit Union,,544474.0,FEDFINANCIAL
3.0,549170,INFIRST FEDERAL CREDIT UNION,Credit Union,,549170.0,INFIRST
3.0,572972,INTERIOR FEDERAL CREDIT UNION,Credit Union,,572972.0,DEPARTMENT OF THE INTERIOR
1.0,574275,ANDREWS FEDERAL CREDIT UNION,Credit Union,,574275.0,ANDREWS FEDERAL CREDIT UNION
3.0,575179,WASHINGTON GAS LIGHT FCU,Credit Union,,575179.0,TRUENERGY
1.0,578684,UKRAINIAN SELFRELIANCE MICHIGA,Credit Union,,578684.0,UKRAINIAN SELFRELIANCE MICHIGAN
3.0,605085,AGRICULTURE FEDERAL CREDIT UNION,Credit Union,,605085.0,AGRICULTURE
3.0,608198,WSECU,Credit Union,,608198.0,WASHINGTON STATE EMPLOYEES
3.0,625775,CHESSIE FEDERAL CREDIT UNION,Credit Union,,625775.0,CHESSIE
1.0,637778,COASTLINE FEDERAL CREDIT UNION,Credit Union,,637778.0,COASTLINE
1.0,656685,COLUMBINE FCU,Credit Union,,656685.0,COLUMBINE
1.0,656694,GOLDENWEST,Credit Union,,656694.0,GOLDENWEST
1.0,662293,PSE CREDIT UNION INC,Credit Union,,662293.0,"PSE CREDIT UNION, INC."
1.0,678098,DUPONT COMMUNITY CREDIT UNION,Credit Union,,678098.0,DUPONT COMMUNITY
1.0,681490,FIRSTMARK CREDIT UNION,Credit Union,,681490.0,FIRSTMARK
3.0,692085,POLICE FEDERAL CREDIT UNION,Credit Union,,692085.0,POLICE
1.0,695376,FIRST SOURCE FEDERAL CREDIT UNION,Credit Union,,695376.0,FIRST SOURCE
3.0,696391,BLUCURRENT CREDIT UNION,Credit Union,,696391.0,BLUCURRENT
3.0,706290,SALAL CREDIT UNION,Credit Union,,706290.0,SALAL
1.0,725385,ROGUE CREDIT UNION,Credit Union,,725385.0,ROGUE
3.0,734284,TOPSIDE FEDERAL CREDIT UNION,Credit Union,,734284.0,TOPSIDE
1.0,792172,COMMONWEALTH ONE FEDERAL CREDIT UNION,Credit Union,,792172.0,COMMONWEALTH ONE
1.0,794091,LAKE TRUST CREDIT UNION,Credit Union,,794091.0,LAKE TRUST
1.0,807085,JOURNEY FEDERAL CREDIT UNION,Credit Union,,807085.0,JOURNEY
1.0,816984,THE FOCUS FEDERAL CREDIT UNION,Credit Union,,816984.0,THE FOCUS
1.0,823795,OUR CREDIT UNION,Credit Union,,823795.0,OUR
1.0,841397,KIMBERLY MILAMGIVHAN,Credit Union,,841397.0,DIVERSIFIED MEMBERS
1.0,899576,THREE RIVERS FEDERAL CREDIT UNION,Credit Union,,899576.0,THREE RIVERS
1.0,902999,CHRISTIAN FINANCIAL CREDIT UNION,Credit Union,,902999.0,CHRISTIAN FINANCIAL
1.0,908889,ITHINK FINANCIAL CREDIT UNION,Credit Union,,908889.0,ITHINK FINANCIAL
3.0,910181,NASA FEDERAL CREDIT UNION,Credit Union,,910181.0,NASA
1.0,939191,VALLEYSTAR CREDIT UNION,Credit Union,,939191.0,VALLEYSTAR
1.0,939285,US POSTAL SERVICE FEDERAL CREDIT UNION,Credit Union,,939285.0,U S POSTAL SERVICE
3.0,948296,PARTNERSHIP FINANCIAL CREDIT UNION,Credit Union,,948296.0,PARTNERSHIP FINANCIAL
3.0,967699,MIDUSA CREDIT UNION,Credit Union,,967699.0,MYUSA
3.0,978471,UNITED STATES SENATE FEDERAL CREDIT UNION,Credit Union,,978471.0,UNITED STATES SENATE
1.0,986177,ADVIA CREDIT UNION,Credit Union,,986177.0,ADVIA
1.0,989383,WALLED LAKE SCHOOL EMPLOYEES FEDERAL CREDIT UNION,Credit Union,,989383.0,WALLED LAKE SCHOOLS
