source,lender_TopRSSDID,lender_TopName,normalized_name,id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state,normalized_name_x,fuzzy_matched_name_fr,fuzzy_matched_name_call,normalized_name_y
1.0,1025608,FIRST HAWAIIAN INC,first hawaiian incorporated,1025608,20171231,2,500,HONOLULU,UNITED STATES,1575569,5493002DJSH46F5OLV06,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN,1,FRS,HI,,,,
3.0,1026801,FREMONT BANCORPORATION,fremont bancorporation,1026801,20171231,12,500,FREMONT,UNITED STATES,0,549300HJ9U2LJ44PTD84,FREMONT BANCORPORATION,FREMONT BC,1,FRS,CA,,,,
1.0,1030170,TRICO BANCSHARES,trico bancshares,1030170,20171231,12,500,CHICO,UNITED STATES,0,0,TRICO BANCSHARES,TRICO BSHRS,1,FRS,CA,,,,
2.0,1031449,SVB FINANCIAL GROUP,svb financial group,1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,,,,
1.0,1037003,M&T BANK CORPORATION,mt bank corporation,1037003,20171231,2,500,BUFFALO,UNITED STATES,0,0,M&T BANK CORPORATION,M&T BK CORP,1,FRS,NY,,,,
1.0,1039502,JPMORGAN CHASE & CO,jpmorgan chase company,1039502,20171231,2,500,NEW YORK,UNITED STATES,0,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,1,FRS,NY,,,,
1.0,1048513,TRUSTCO BANK CORP NY,trustco bank corporation ny,1048513,20171231,3,500,GLENVILLE,UNITED STATES,0,0,TRUSTCO BANK CORP NY,TRUSTCO BC NY,4,FRS,NY,,,,
2.0,1048728,BALLSTON SPA BANCORP INC,ballston spa bancorp incorporated,1048728,20171231,2,500,BALLSTON SPA,UNITED STATES,0,549300GZP3XCTYS85G65,"BALLSTON SPA BANCORP, INC.",BALLSTON SPA BC,1,FRS,NY,,,,
1.0,1048773,VALLEY NATIONAL BANCORP,valley national bancorp,1048773,20171231,2,500,WAYNE,UNITED STATES,0,0,VALLEY NATIONAL BANCORP,VALLEY NAT BC,1,FRS,NJ,,,,
3.0,1048867,COMMUNITY BANK SYSTEM INC,community bank system incorporated,1048867,20171231,2,500,SYRACUSE,UNITED STATES,0,0,"COMMUNITY BANK SYSTEM, INC.",COMMUNITY BK SYS,1,FRS,NY,,,,
1.0,1048894,FIRST OF LONG ISLAND CORPORATION THE,first of long island corporation the,1048894,20171231,2,500,GLEN HEAD,UNITED STATES,0,0,"FIRST OF LONG ISLAND CORPORATION, THE",FIRST OF LONG ISLAND CORP,1,FRS,NY,,,,
1.0,1049828,UMB FINANCIAL CORPORATION,umb financial corporation,1049828,20171231,10,500,KANSAS CITY,UNITED STATES,0,549300MGEH3N3CUCV828,UMB FINANCIAL CORPORATION,UMB FC,1,FRS,MO,,,,
1.0,1057962,QUAIL CREEK BANCSHARES INC,quail creek bancshares incorporated,1057962,20171231,10,500,OKLAHOMA CITY,UNITED STATES,0,0,"QUAIL CREEK BANCSHARES, INC.",QUAIL CREEK BSHRS,1,FRS,OK,,,,
1.0,1057980,ARKANSAS VALLEY BANCSHARES INC,arkansas valley bancshares incorporated,1057980,20171231,10,500,BROKEN ARROW,UNITED STATES,0,549300D0UI5FBVP9BG79,"ARKANSAS VALLEY BANCSHARES, INC.",ARKANSAS VALLEY BSHRS,1,FRS,OK,,,,
3.0,1062135,SPIRIT BANKCORP INC,spirit bankcorp incorporated,1062135,20171231,10,500,BRISTOW,UNITED STATES,0,0,"SPIRIT BANKCORP, INC.",SPIRIT BC,1,FRS,OK,,,,
1.0,1064278,INTRUST FINANCIAL CORPORATION,intrust financial corporation,1064278,20171231,10,500,WICHITA,UNITED STATES,0,549300UT14PGK0YPUU83,INTRUST FINANCIAL CORPORATION,INTRUST FC,1,FRS,KS,,,,
1.0,1068025,KEYCORP,keycorp,1068025,20171231,4,500,CLEVELAND,UNITED STATES,0,RKPI3RZGV1V1FJTH5T61,KEYCORP,KEYCORP,1,FRS,OH,,,,
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,huntington bancshares incorporated,1068191,20171231,4,500,COLUMBUS,UNITED STATES,0,0,HUNTINGTON BANCSHARES INCORPORATED,HUNTINGTON BSHRS,1,FRS,OH,,,,
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,huntington bancshares incorporated,1109601,20171231,11,500,HUNTINGTON,UNITED STATES,0,0,"HUNTINGTON BANCSHARES, INC.",HUNTINGTON BSHRS,1,FRS,TX,,,,
1.0,1069778,PNC FINANCIAL SERVICES GROUP INC THE,pnc financial services group incorporated the,1069778,20171231,4,500,PITTSBURGH,UNITED STATES,0,CFGNEKW0P8842LEUIA51,"PNC FINANCIAL SERVICES GROUP, INC., THE",PNC FNCL SVC GROUP,1,FRS,PA,,,,
1.0,1070345,FIFTH THIRD BANCORP,fifth third bancorp,1070345,20171231,4,500,CINCINNATI,UNITED STATES,0,0,FIFTH THIRD BANCORP,FIFTH THIRD BC,1,FRS,OH,,,,
1.0,1070448,WESBANCO INC,wesbanco incorporated,1070448,20171231,4,500,WHEELING,UNITED STATES,0,0,"WESBANCO, INC.",WESBANCO,1,FRS,WV,,,,
1.0,1070644,COMMUNITY TRUST BANCORP INC,community trust bancorp incorporated,1070644,20171231,4,500,PIKEVILLE,UNITED STATES,0,0,"COMMUNITY TRUST BANCORP, INC.",COMMUNITY TR BC,1,FRS,KY,,,,
