source,lender_TopRSSDID,lender_TopName,lender_TopName_lower,normalized_name_x,fuzzy_matched_name,id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state,name_legal_lower,normalized_name_y
1.0,1025608,FIRST HAWAIIAN INC,first hawaiian inc,first hawaiian incorporated,first hawaiian incorporated,1025608,20171231,2,500,HONOLULU,UNITED STATES,1575569,5493002DJSH46F5OLV06,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN,1,FRS,HI,"first hawaiian, inc.",first hawaiian incorporated
3.0,1026801,FREMONT BANCORPORATION,fremont bancorporation,fremont bancorporation,fremont bancorporation,1026801,20171231,12,500,FREMONT,UNITED STATES,0,549300HJ9U2LJ44PTD84,FREMONT BANCORPORATION,FREMONT BC,1,FRS,CA,fremont bancorporation,fremont bancorporation
1.0,1030040,BANK OF CMRC HOLD,bank of cmrc hold,bank of cmrc hold,bank of commerce holdings,1030040,20171231,12,500,SACRAMENTO,UNITED STATES,0,HIDHKSSVNILGQQ1P9A04,BANK OF COMMERCE HOLDINGS,BANK OF CMRC HOLD,1,FRS,CA,bank of commerce holdings,bank of commerce holdings
1.0,1030170,TRICO BANCSHARES,trico bancshares,trico bancshares,trico bancshares,1030170,20171231,12,500,CHICO,UNITED STATES,0,0,TRICO BANCSHARES,TRICO BSHRS,1,FRS,CA,trico bancshares,trico bancshares
2.0,1031449,SVB FINANCIAL GROUP,svb financial group,svb financial group,svb financial group,1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,svb financial group,svb financial group
1.0,f288,JVB FINANCIAL GROUP,jvb financial group,jvb financial group,svb financial group,1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,svb financial group,svb financial group
1.0,1037003,M&T BANK CORPORATION,m&t bank corporation,mt bank corporation,mt bank corporation,1037003,20171231,2,500,BUFFALO,UNITED STATES,0,0,M&T BANK CORPORATION,M&T BK CORP,1,FRS,NY,m&t bank corporation,mt bank corporation
1.0,1039502,JPMORGAN CHASE & CO,jpmorgan chase & co,jpmorgan chase company,jpmorgan chase company,1039502,20171231,2,500,NEW YORK,UNITED STATES,0,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,1,FRS,NY,jpmorgan chase & co.,jpmorgan chase company
1.0,1048513,TRUSTCO BANK CORP NY,trustco bank corp ny,trustco bank corporation ny,trustco bank corporation ny,1048513,20171231,3,500,GLENVILLE,UNITED STATES,0,0,TRUSTCO BANK CORP NY,TRUSTCO BC NY,4,FRS,NY,trustco bank corp ny,trustco bank corporation ny
2.0,1048728,BALLSTON SPA BANCORP INC,ballston spa bancorp inc,ballston spa bancorp incorporated,ballston spa bancorp incorporated,1048728,20171231,2,500,BALLSTON SPA,UNITED STATES,0,549300GZP3XCTYS85G65,"BALLSTON SPA BANCORP, INC.",BALLSTON SPA BC,1,FRS,NY,"ballston spa bancorp, inc.",ballston spa bancorp incorporated
