source,lender_TopRSSDID,lender_TopName,normalized_name,date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id,normalized_name_x,fuzzy_matched_name_fr,fuzzy_matched_name_call,normalized_name_y
3.0,1493319,GATEWAY BANK FSB,gateway bank fsb,20171231.0,1493319.0,300.0,"GATEWAY BANK, F.S.B.",GATEWAY BK FSB,1.0,12.0,OAKLAND,UNITED STATES,CA,OCC,0,1493319.0,,,,
1.0,2539081,SHORE COMMUNITY BANK,shore community bank,20171231.0,2539081.0,200.0,SHORE COMMUNITY BANK,SHORE CMNTY BK,1.0,3.0,TOMS RIVER,UNITED STATES,NJ,FDIC,0,2539081.0,,,,
1.0,2980209,BARCLAYS BANK DELAWARE,barclays bank delaware,20171231.0,2980209.0,200.0,BARCLAYS BANK DELAWARE,BARCLAYS BK DE,1.0,3.0,WILMINGTON,UNITED STATES,DE,FDIC,C7HX62OF36KBJB6QPK73,5006575.0,,,,
1.0,3146150,US CENTURY BANK,us century bank,20171231.0,3146150.0,200.0,U.S. CENTURY BANK,US CENTURY BK,1.0,6.0,MIAMI,UNITED STATES,FL,FDIC,0,3146150.0,,,,
3.0,3303944,PACIFIC WEST BANK,pacific west bank,20171231.0,3303944.0,200.0,PACIFIC WEST BANK,PACIFIC W BK,1.0,12.0,WEST LINN,UNITED STATES,OR,FDIC,0,3303944.0,,,,
1.0,3342671,ANCHOR COMMERCIAL BANK,anchor commercial bank,20171231.0,3342671.0,200.0,ANCHOR COMMERCIAL BANK,ANCHOR CMRL BK,1.0,6.0,JUNO BEACH,UNITED STATES,FL,FRS,0,3342671.0,,,,
3.0,3383076,TRIVALLEY BANK,trivalley bank,20171231.0,404943.0,200.0,TRI-VALLEY BANK,TRI-VALLEY BK,1.0,7.0,RANDOLPH,UNITED STATES,IA,FDIC,0,404943.0,,,,
1.0,3402913,BANESCO USA,banesco usa,20171231.0,3402913.0,200.0,BANESCO USA,BANESCO USA,1.0,6.0,CORAL GABLES,UNITED STATES,FL,FDIC,0,3402913.0,,,,
3.0,3448162,LONE STAR BANK,lone star bank,20171231.0,3448162.0,200.0,LONE STAR BANK,LONE STAR BK,1.0,11.0,HOUSTON,UNITED STATES,TX,FDIC,0,3448162.0,,,,
1.0,3592047,GOLDWATER BANK NATIONAL ASSOCIATION,goldwater bank national association,20171231.0,3592047.0,200.0,"GOLDWATER BANK, NATIONAL ASSOCIATION",GOLDWATER BK NA,1.0,12.0,PHOENIX,UNITED STATES,AZ,OCC,0,3592047.0,,,,
1.0,3614958,CALIFORNIA BANK OF COMMERCE,california bank of commerce,20171231.0,3614958.0,200.0,CALIFORNIA BANK OF COMMERCE,CALIFORNIA BK OF CMRC,1.0,12.0,LAFAYETTE,UNITED STATES,CA,FDIC,0,5116344.0,,,,
3.0,3654712,NEW JERSEY COMMUNITY BANK,new jersey community bank,20171231.0,3654712.0,200.0,NEW JERSEY COMMUNITY BANK,NEW JERSEY CMNTY BK,1.0,2.0,FREEHOLD,UNITED STATES,NJ,FDIC,0,3654712.0,,,,
3.0,4114567,FIRST REPUBLIC BANK,first republic bank,20171231.0,4114567.0,200.0,FIRST REPUBLIC BANK,FIRST REPUBLIC BK,1.0,12.0,SAN FRANCISCO,UNITED STATES,CA,FDIC,0,4114567.0,,,,
2.0,494261,PACIFIC WESTERN BANK,pacific western bank,20171231.0,494261.0,200.0,PACIFIC WESTERN BANK,PACIFIC WESTERN BK,1.0,12.0,BEVERLY HILLS,UNITED STATES,CA,FDIC,549300A7DTSCJLJ33451,2875332.0,,,,
1.0,632858,FRONTIER STATE BANK,frontier state bank,20171231.0,632858.0,200.0,FRONTIER STATE BANK,FRONTIER ST BK,1.0,10.0,OKLAHOMA CITY,UNITED STATES,OK,FDIC,0,632858.0,,,,
1.0,95051,ONE AMERICAN BANK,one american bank,20171231.0,95051.0,200.0,ONE AMERICAN BANK,ONE AMER BK,1.0,9.0,SIOUX FALLS,UNITED STATES,SD,FDIC,0,95051.0,,,,
1.0,f108,CENTRAL BANK,central bank,20171231.0,31255.0,200.0,CENTRAL BANK,CENTRAL BK,1.0,11.0,HOUSTON,UNITED STATES,TX,FRS,5493005J49KPXDXUC959,1106468.0,,,,
1.0,f111,CITIZENS BANK,citizens bank,20171231.0,44741.0,200.0,CITIZENS BANK,CITIZENS BK,1.0,7.0,MOORESVILLE,UNITED STATES,IN,FDIC,549300CABYW2DE2UTD57,1207208.0,,,,
3.0,f112,CITIZENS BANK & TRUST,citizens bank trust,20171231.0,964250.0,200.0,CITIZENS BANK & TRUST,CITIZENS B&TC,1.0,10.0,ROCK PORT,UNITED STATES,MO,FDIC,0,964250.0,,,,
1.0,f113,CITIZENS BANK & TRUST COMPANY,citizens bank trust company,20171231.0,192147.0,200.0,CITIZENS BANK & TRUST COMPANY,CITIZENS B&TC,1.0,8.0,VAN BUREN,UNITED STATES,AR,FRS,0,1491360.0,,,,
1.0,f114,CITIZENS STATE BANK,citizens state bank,20171231.0,54656.0,200.0,CITIZENS STATE BANK,CITIZENS ST BK,1.0,11.0,BUFFALO,UNITED STATES,TX,FDIC,0,2112439.0,,,,
1.0,f115,CITY NATIONAL BANK,city national bank,20171231.0,63069.0,200.0,CITY NATIONAL BANK,CITY NB,1.0,12.0,LOS ANGELES,UNITED STATES,CA,OCC,593C3GZG957YOJPS2Z63,3226762.0,,,,
1.0,f132,COMMERCE BANK,commerce bank,20171231.0,49054.0,200.0,COMMERCE BANK,COMMERCE BK,1.0,9.0,GENEVA,UNITED STATES,MN,FDIC,0,2452630.0,,,,
1.0,f133,COMMERCIAL BANK,commercial bank,20171231.0,296559.0,200.0,COMMERCIAL BANK,COMMERCIAL BK,1.0,10.0,PARSONS,UNITED STATES,KS,FDIC,0,296559.0,,,,
1.0,f134,COMMUNITY BANK,community bank,20171231.0,250850.0,200.0,COMMUNITY BANK,COMMUNITY BK,1.0,10.0,ALVA,UNITED STATES,OK,FDIC,0,1249570.0,,,,
1.0,f162,EAGLE BANK,eagle bank,20171231.0,197302.0,300.0,EAGLE BANK,EAGLE BK,6.0,1.0,EVERETT,UNITED STATES,MA,FDIC,0,197302.0,,,,
2.0,f170,EMIGRANT BANK,emigrant bank,20171231.0,137915.0,300.0,EMIGRANT BANK,EMIGRANT BK,1.0,2.0,NEW YORK,UNITED STATES,NY,FDIC,0,3212091.0,,,,
1.0,f171,ENTERPRISE BANK,enterprise bank,20171231.0,1836701.0,200.0,ENTERPRISE BANK,ENTERPRISE BK,1.0,10.0,OMAHA,UNITED STATES,NE,FRS,0,3306356.0,,,,
1.0,f178,F&M BANK,fm bank,20171231.0,163857.0,200.0,F&M BANK,F&M BK,1.0,10.0,EDMOND,UNITED STATES,OK,FDIC,0,1054550.0,,,,
1.0,f182,FARMERS & MERCHANTS BANK,farmers merchants bank,20171231.0,2040.0,200.0,FARMERS & MERCHANTS BANK,FARMERS & MRCHS BK,1.0,7.0,TOMAH,UNITED STATES,WI,FDIC,5493003PU4GOYGQN7E38,1245602.0,,,,
1.0,f183,FARMERS & MERCHANTS STATE BANK,farmers merchants state bank,20171231.0,79145.0,200.0,FARMERS & MERCHANTS STATE BANK,FARMERS & MRCH ST BK,1.0,7.0,WATERLOO,UNITED STATES,WI,FDIC,5493006S21NZTF9Y1L04,3087039.0,,,,
3.0,f184,FARMERS AND MERCHANTS BANK,farmers and merchants bank,20171231.0,4231.0,200.0,FARMERS AND MERCHANTS BANK,FARMERS & MRCH BK,1.0,6.0,SYLVANIA,UNITED STATES,GA,FDIC,0,1863239.0,,,,
1.0,f195,FIRST BANK,first bank,20171231.0,49652.0,200.0,FIRST BANK,FIRST BK,1.0,10.0,STERLING,UNITED STATES,KS,FDIC,0,1055351.0,,,,
1.0,f196,FIRST BANK & TRUST,first bank trust,20171231.0,77851.0,200.0,FIRST BANK & TRUST,FIRST B&T,1.0,9.0,BROOKINGS,UNITED STATES,SD,FDIC,549300IQ5NY7CSJLZW53,1123072.0,,,,
1.0,f197,FIRST BANK AND TRUST,first bank and trust,20171231.0,1862719.0,200.0,FIRST BANK AND TRUST,FIRST B&TC,1.0,6.0,NEW ORLEANS,UNITED STATES,LA,FDIC,549300J59XY2XA4OSM90,2127657.0,,,,
3.0,f199,FIRST BANK OF TENNESSEE,first bank of tennessee,20171231.0,724230.0,200.0,FIRST BANK OF TENNESSEE,FIRST BK OF TN,1.0,6.0,SPRING CITY,UNITED STATES,TN,FDIC,0,724230.0,,,,
1.0,f200,FIRST CITIZENS BANK,first citizens bank,20171231.0,186744.0,200.0,FIRST CITIZENS BANK,FIRST CITIZENS BK,1.0,7.0,MASON CITY,UNITED STATES,IA,FRS,0,1203509.0,,,,
1.0,f206,FIRST FEDERAL SAVINGS BANK,first federal savings bank,20171231.0,107570.0,200.0,FIRST FEDERAL SAVINGS BANK,FIRST FSB,1.0,7.0,HUNTINGTON,UNITED STATES,IN,FDIC,549300RMPGD5KKS1RR35,2514136.0,,,,
1.0,f210,FIRST NATIONAL BANK,first national bank,20171231.0,42448.0,200.0,FIRST NATIONAL BANK,FIRST NB,1.0,8.0,PARAGOULD,UNITED STATES,AR,OCC,0,1119383.0,,,,
1.0,f214,FIRST SAVINGS BANK,first savings bank,20171231.0,67656.0,300.0,FIRST SAVINGS BANK,FIRST SVG BK,1.0,9.0,BERESFORD,UNITED STATES,SD,OCC,254900PHRI1MCM69UM20,1128219.0,,,,
2.0,f215,FIRST STATE BANK,first state bank,20171231.0,10849.0,200.0,FIRST STATE BANK,FIRST ST BK,1.0,8.0,LONOKE,UNITED STATES,AR,FDIC,0,1491614.0,,,,
3.0,f217,FIRST UNITED BANK,first united bank,20171231.0,578255.0,200.0,FIRST UNITED BANK,FIRST UNITED BK,1.0,11.0,DIMMITT,UNITED STATES,TX,FDIC,0,1108163.0,,,,
1.0,f218,FIRSTBANK,firstbank,20171231.0,288853.0,200.0,FIRSTBANK,FIRSTBANK,1.0,10.0,LAKEWOOD,UNITED STATES,CO,FRS,5493009V3WNJX9V2GZ85,1060627.0,,,,
1.0,f221,FIVE STAR BANK,five star bank,20171231.0,601416.0,200.0,FIVE STAR BANK,FIVE STAR BK,1.0,2.0,WARSAW,UNITED STATES,NY,FRS,0,1032464.0,,,,
1.0,f227,FREEDOM BANK,freedom bank,20171231.0,2858492.0,200.0,FREEDOM BANK,FREEDOM BK,1.0,8.0,HUNTINGBURG,UNITED STATES,IN,FDIC,0,3575787.0,,,,
1.0,f230,FROST BANK,frost bank,20171231.0,682563.0,200.0,FROST BANK,FROST BK,1.0,11.0,SAN ANTONIO,UNITED STATES,TX,FRS,G5AHTAP80NWA3Q8RDC78,1102367.0,,,,
3.0,f232,GATEWAY BANK,gateway bank,20171231.0,733540.0,200.0,GATEWAY BANK,GATEWAY BK,1.0,8.0,RISON,UNITED STATES,AR,FDIC,0,4512378.0,,,,
1.0,f242,GRAND BANK,grand bank,20171231.0,76854.0,200.0,GRAND BANK,GRAND BK,1.0,10.0,TULSA,UNITED STATES,OK,FDIC,0,1065967.0,,,,
1.0,f258,HEARTLAND BANK,heartland bank,20171231.0,88455.0,200.0,HEARTLAND BANK,HEARTLAND BK,1.0,10.0,GENEVA,UNITED STATES,NE,FDIC,0,1834396.0,,,,
3.0,f259,HERITAGE BANK,heritage bank,20171231.0,225942.0,200.0,HERITAGE BANK,HERITAGE BK,1.0,7.0,MARION,UNITED STATES,IA,FDIC,0,1205594.0,,,,
1.0,f265,HOMETOWN BANK,hometown bank,20171231.0,63742.0,200.0,HOMETOWN BANK,HOMETOWN BK,1.0,7.0,FOND DU LAC,UNITED STATES,WI,FDIC,549300OSYCBC27271359,2628453.0,,,,
3.0,f269,HORIZON BANK,horizon bank,20171231.0,130541.0,200.0,HORIZON BANK,HORIZON BK,1.0,7.0,MICHIGAN CITY,UNITED STATES,IN,FDIC,P7GC0W65KB5CEIHLDX81,1209136.0,,,,
1.0,f275255,BANNER CAPITAL BANK,banner capital bank,20171231.0,275255.0,200.0,BANNER CAPITAL BANK,BANNER CAP BK,1.0,10.0,HARRISBURG,UNITED STATES,NE,FDIC,0,1067028.0,,,,
3.0,f283,JEFFERSON BANK,jefferson bank,20171231.0,45560.0,200.0,JEFFERSON BANK,JEFFERSON BK,1.0,11.0,SAN ANTONIO,UNITED STATES,TX,FDIC,549300RXHLK3XT6SD946,1109290.0,,,,
1.0,f283737,FIRST NATIONAL BANK OF TENNESSEE,first national bank of tennessee,20171231.0,283737.0,200.0,FIRST NATIONAL BANK OF TENNESSEE,FIRST NB OF TN,1.0,6.0,LIVINGSTON,UNITED STATES,TN,OCC,0,283737.0,,,,
1.0,f302,LANDMARK COMMUNITY BANK,landmark community bank,20171231.0,2758024.0,200.0,LANDMARK COMMUNITY BANK,LANDMARK CMNTY BK,1.0,8.0,COLLIERVILLE,UNITED STATES,TN,FDIC,0,2758024.0,,,,
1.0,f317,LIBERTY BANK,liberty bank,20171231.0,386432.0,200.0,LIBERTY BANK,LIBERTY BK,1.0,6.0,GERALDINE,UNITED STATES,AL,FDIC,0,1084753.0,,,,
1.0,f32,AMERICAN NATIONAL BANK,american national bank,20171231.0,481430.0,200.0,AMERICAN NATIONAL BANK,AMERICAN NB,1.0,6.0,OAKLAND PARK,UNITED STATES,FL,OCC,0,2939337.0,,,,
1.0,f327,MAGNOLIA STATE BANK,magnolia state bank,20171231.0,34434.0,200.0,MAGNOLIA STATE BANK,MAGNOLIA ST BK,1.0,6.0,BAY SPRINGS,UNITED STATES,MS,FDIC,5493007YWPQ2TU6YIG45,1084016.0,,,,
1.0,f328,MAIN STREET BANK,main street bank,20171231.0,818401.0,300.0,MAIN STREET BANK,MAIN ST BK,6.0,1.0,MARLBOROUGH,UNITED STATES,MA,FDIC,0,3469354.0,,,,
3.0,f335,MBANK,mbank,20171231.0,132554.0,200.0,MBANK,MBANK,1.0,9.0,MANISTIQUE,UNITED STATES,MI,FDIC,549300X3PFQJ32XJSB27,1123933.0,,,,
1.0,f342,MERCHANTS BANK,merchants bank,20171231.0,147633.0,200.0,MERCHANTS BANK,MERCHANTS BK,1.0,6.0,JACKSON,UNITED STATES,AL,FDIC,0,1085107.0,,,,
