source,lender_TopRSSDID,lender_TopName,normalized_name,RSSD,CU_NAME,normalized_name_x,fuzzy_matched_name_cu,normalized_name_y
3.0,368492,WRIGHTPATT CREDIT UNION INC,wrightpatt credit union incorporated,368492,"WRIGHT-PATT CREDIT UNION, INC.",,,
1.0,373795,USF FEDERAL CREDIT UNION,usf federal credit union,373795,USF FEDERAL CREDIT UNION,,,
3.0,443193,CREDIT UNION ONE,credit union one,443193,CREDIT UNION ONE,,,
1.0,574275,ANDREWS FEDERAL CREDIT UNION,andrews federal credit union,574275,ANDREWS FEDERAL CREDIT UNION,,,
1.0,662293,PSE CREDIT UNION INC,pse credit union incorporated,662293,"PSE CREDIT UNION, INC.",,,
1.0,f651998,CREDIT UNION ADVANTAGE,credit union advantage,651998,CREDIT UNION ADVANTAGE,,,
3.0,f733090,WHITEFISH CREDIT UNION ASSOCIATION,whitefish credit union association,733090,WHITEFISH CREDIT UNION ASSOCIATION,,,
1.0,f947392,PAINESVILLE CREDIT UNION,painesville credit union,947392,PAINESVILLE CREDIT UNION,,,
1.0,1003790,USE CREDIT UNION,,371894,WCU CREDIT UNION,use credit union,wcu credit union,wcu credit union
3.0,175980,PURDUE FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,purdue federal credit union,navy federal credit union,navy federal credit union
1.0,240486,SKYPOINT FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,skypoint federal credit union,navy federal credit union,navy federal credit union
2.0,269393,MILLBURY FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,millbury federal credit union,navy federal credit union,navy federal credit union
3.0,549170,INFIRST FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,infirst federal credit union,navy federal credit union,navy federal credit union
3.0,572972,INTERIOR FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,interior federal credit union,navy federal credit union,navy federal credit union
3.0,692085,POLICE FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,police federal credit union,navy federal credit union,navy federal credit union
1.0,807085,JOURNEY FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,journey federal credit union,navy federal credit union,navy federal credit union
3.0,910181,NASA FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,nasa federal credit union,navy federal credit union,navy federal credit union
3.0,971986,REACH FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,reach federal credit union,navy federal credit union,navy federal credit union
1.0,f108586,TRANSIT FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,transit federal credit union,navy federal credit union,navy federal credit union
3.0,f196387,MONEY ONE FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,money one federal credit union,navy federal credit union,navy federal credit union
3.0,f524373,HUD FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,hud federal credit union,navy federal credit union,navy federal credit union
1.0,f673570,TANDEM FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,tandem federal credit union,navy federal credit union,navy federal credit union
1.0,f697286,ODJFS FEDERAL CREDIT UNION,,617677,NAVY FEDERAL CREDIT UNION,odjfs federal credit union,navy federal credit union,navy federal credit union
