id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
1020180,20171231,9,500,SAINT PAUL,UNITED STATES,0,549300TXP74T8NJZJW60,BREMER FINANCIAL CORPORATION,BREMER FNCL CORP,1,FRS,MN
1020201,20171231,7,500,NEW YORK,UNITED STATES,3232316,549300LBOHZ4QSIWU288,HSBC USA INC.,HSBC USA,1,FRS,NY
1020395,20171231,6,500,ANDALUSIA,UNITED STATES,0,254900YBC9ZTMHLVQ556,SOUTHERN NATIONAL CORPORATION,SOUTHERN NAT CORP,1,FRS,AL
1020582,20171231,7,500,WISCONSIN RAPIDS,UNITED STATES,0,0,WOODTRUST FINANCIAL CORP,WOODTRUST FC,1,FRS,WI
1020591,20171231,7,500,SIOUX CITY,UNITED STATES,0,0,"PINNACLE BANCORP, INC.",PINNACLE BC,1,FRS,IA
1020667,20171231,7,500,DAVENPORT,UNITED STATES,0,0,NORTHWEST INVESTMENT CORP.,NORTHWEST INV CORP,1,FRS,IA
1020676,20171231,7,500,CHICAGO,UNITED STATES,0,0,AMALGAMATED INVESTMENTS COMPANY,AMALGAMATED INV CO,1,FRS,IL
1020854,20171231,10,500,WAHOO,UNITED STATES,0,0,"BANK MANAGEMENT, INC.",BANK MGMT,1,FRS,NE
1020902,20171231,10,500,OMAHA,UNITED STATES,0,0,"FIRST NATIONAL OF NEBRASKA, INC.",FIRST NAT OF NE,1,FRS,NE
1020920,20171231,9,500,EDINA,UNITED STATES,0,0,CENTRAL TRUST COMPANY,CENTRAL TC,1,FRS,MN
1021570,20171231,10,500,OMAHA,UNITED STATES,0,0,"VIKING CORPORATION, THE",VIKING CORP,1,FRS,NE
1021682,20171231,10,500,FARMINGTON,UNITED STATES,0,0,"CITIZENS BANKSHARES, INC.",CITIZENS BSHRS,1,FRS,NM
1022063,20171231,10,500,BROOKFIELD,UNITED STATES,0,0,"CAPITAL BANCSHARES, INC.",CAPITAL BSHRS,1,FRS,MO
1022764,20171231,12,500,HONOLULU,UNITED STATES,0,549300W3YEAOZ4KGG849,CENTRAL PACIFIC FINANCIAL CORP.,CENTRAL PACIFIC FC,1,FRS,HI
1022858,20171231,8,500,COLUMBIA,UNITED STATES,0,0,"COLUMBIA BANCSHARES, INC.",COLUMBIA BANCSHARES,1,FRS,IL
1022997,20171231,10,500,PUEBLO,UNITED STATES,0,0,PUEBLO BANCORPORATION,PUEBLO BC,1,FRS,CO
1023145,20171231,10,500,FORT SCOTT,UNITED STATES,0,0,"CITY BANCSHARES, INC.",CITY BSHRS,1,FRS,KS
1023172,20171231,8,500,EDINA,UNITED STATES,1095816,0,"NORTH MISSOURI BANCORP, INC.",NORTH MO BANCORP,1,FRS,MO
1023220,20171231,2,500,NEWARK,UNITED STATES,3587146,0,B.N.Y. HOLDINGS (DELAWARE) CORPORATION,BNY HOLD DE CORP,1,FRS,DE
1023341,20171231,6,500,RED BAY,UNITED STATES,3587294,0,"INDEPENDENT BANCSHARES, INC.",INDEPENDENT BSHRS,1,FRS,AL
1025309,20171231,12,500,HONOLULU,UNITED STATES,0,5493006Q8BQ8AD8M2U33,BANK OF HAWAII CORPORATION,BANK OF HI CORP,1,FRS,HI
1025541,20171231,12,500,SAN RAFAEL,UNITED STATES,0,0,WESTAMERICA BANCORPORATION,WESTAMERICA BC,1,FRS,CA
1025608,20171231,2,500,HONOLULU,UNITED STATES,1575569,5493002DJSH46F5OLV06,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN,1,FRS,HI
1025662,20171231,12,500,PROVO,UNITED STATES,0,0,CENTRAL BANCORPORATION,CENTRAL BC,1,FRS,UT
1026632,20171231,12,500,SAN FRANCISCO,UNITED STATES,0,0,"CHARLES SCHWAB CORPORATION, THE",CHARLES SCHWAB CORP,1,FRS,CA
1026801,20171231,12,500,FREMONT,UNITED STATES,0,549300HJ9U2LJ44PTD84,FREMONT BANCORPORATION,FREMONT BC,1,FRS,CA
1027004,20171231,12,500,SALT LAKE CITY,UNITED STATES,0,YYQWUR1Z2BCX32HQS333,ZIONS BANCORPORATION,ZIONS BC,1,FRS,UT
1027947,20171231,12,500,SALT LAKE CITY,UNITED STATES,0,0,BRIGHTON BANCORP,BRIGHTON BC,1,FRS,UT
1027992,20171231,12,500,SALT LAKE CITY,UNITED STATES,0,0,FIRST UTAH BANCORPORATION,FIRST UT BC,1,FRS,UT
1028533,20171231,12,500,SAN FRANCISCO,UNITED STATES,0,0,ORIENT BANCORPORATION,ORIENT BC,1,FRS,CA
1029222,20171231,12,500,ONTARIO,UNITED STATES,0,0,CVB FINANCIAL CORP.,CVB FC,1,FRS,CA
1029259,20171231,11,500,DALLAS,UNITED STATES,1199844,0,COMERICA HOLDINGS INCORPORATED,COMERICA HOLDS,1,FRS,TX
1029286,20171231,8,500,CREVE COEUR,UNITED STATES,1118797,0,"SAN FRANCISCO COMPANY, THE",SAN FRANCISCO CO,1,FRS,MO
1029295,20171231,12,500,OAKLAND,UNITED STATES,0,0,"SUMMIT BANCSHARES, INC.",SUMMIT BSHRS,1,FRS,CA
1029464,20171231,12,500,SPOKANE,UNITED STATES,0,0,W.T.B. FINANCIAL CORPORATION,WTB FC,1,FRS,WA
1030040,20171231,12,500,SACRAMENTO,UNITED STATES,0,HIDHKSSVNILGQQ1P9A04,BANK OF COMMERCE HOLDINGS,BANK OF CMRC HOLD,1,FRS,CA
1030170,20171231,12,500,CHICO,UNITED STATES,0,0,TRICO BANCSHARES,TRICO BSHRS,1,FRS,CA
1030947,20171231,12,500,BELLINGHAM,UNITED STATES,0,0,PEOPLES BANCORP,PEOPLES BC,1,FRS,WA
1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA
1031515,20171231,12,500,SAN FRANCISCO,UNITED STATES,0,0,TRANS PACIFIC BANCORP,TRANS PACIFIC BC,1,FRS,CA
1031588,20171231,12,500,WALNUT CREEK,UNITED STATES,0,0,LEARNER FINANCIAL CORPORATION,LEARNER FC,1,FRS,CA
1032464,20171231,2,500,WARSAW,UNITED STATES,0,0,"FINANCIAL INSTITUTIONS, INC.",FINANCIAL INST,1,FRS,NY
1032473,20171231,2,500,NEW YORK,UNITED STATES,2816906,529900JA77IQLWAUIY31,DEUTSCHE BANK TRUST CORPORATION,DEUTSCHE BK TR CORP,1,FRS,NY
1035157,20171231,2,500,SARATOGA SPRINGS,UNITED STATES,0,0,473 BROADWAY HOLDING CORPORATION,473 BROADWAY HOLD CORP,1,FRS,NY
1036967,20171231,2,500,LIVINGSTON,UNITED STATES,0,N8O96ZZJQRFYQUJY7K79,CIT GROUP INC.,CIT GROUP,1,FRS,NJ
1037003,20171231,2,500,BUFFALO,UNITED STATES,0,0,M&T BANK CORPORATION,M&T BK CORP,1,FRS,NY
1039502,20171231,2,500,NEW YORK,UNITED STATES,0,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,1,FRS,NY
1048504,20171231,2,500,JEFFERSONVILLE,UNITED STATES,0,0,JEFFERSONVILLE BANCORP,JEFFERSONVILLE BC,1,FRS,NY
1048513,20171231,3,500,GLENVILLE,UNITED STATES,0,0,TRUSTCO BANK CORP NY,TRUSTCO BC NY,4,FRS,NY
1048728,20171231,2,500,BALLSTON SPA,UNITED STATES,0,549300GZP3XCTYS85G65,"BALLSTON SPA BANCORP, INC.",BALLSTON SPA BC,1,FRS,NY
1048764,20171231,2,500,ENGLEWOOD CLIFFS,UNITED STATES,0,0,"CONNECTONE BANCORP, INC.",CONNECTONE BC,1,FRS,NJ
1048773,20171231,2,500,WAYNE,UNITED STATES,0,0,VALLEY NATIONAL BANCORP,VALLEY NAT BC,1,FRS,NJ
1048812,20171231,2,500,GLENS FALLS,UNITED STATES,0,0,ARROW FINANCIAL CORPORATION,ARROW FC,1,FRS,NY
1048849,20171231,2,500,NEWARK,UNITED STATES,0,0,CITY NATIONAL BANCSHARES CORPORATION,CITY NAT BSHRS CORP,1,FRS,NJ
1048858,20171231,2,500,SPENCER,UNITED STATES,0,0,"TSB SERVICES, INC.",TSB SVC,1,FRS,NY
1048867,20171231,2,500,SYRACUSE,UNITED STATES,0,0,"COMMUNITY BANK SYSTEM, INC.",COMMUNITY BK SYS,1,FRS,NY
1048894,20171231,2,500,GLEN HEAD,UNITED STATES,0,0,"FIRST OF LONG ISLAND CORPORATION, THE",FIRST OF LONG ISLAND CORP,1,FRS,NY
1049341,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,MO
1049828,20171231,10,500,KANSAS CITY,UNITED STATES,0,549300MGEH3N3CUCV828,UMB FINANCIAL CORPORATION,UMB FC,1,FRS,MO
1050075,20171231,10,500,LIBERAL,UNITED STATES,0,0,KANSAS BANK CORPORATION,KANSAS BC,1,FRS,KS
1050178,20171231,10,500,NOBLE,UNITED STATES,0,0,"NOBLE BANCSHARES, INC.",NOBLE BSHRS,1,FRS,OK
1050226,20171231,10,500,THORNTON,UNITED STATES,0,0,CITIZENS INVESTMENT COMPANY,CITIZENS INV CO,1,FRS,CO
1050495,20171231,10,500,CAMBRIDGE,UNITED STATES,0,0,"CENTRAL BANCSHARES, INC.",CENTRAL BSHRS,1,FRS,NE
1050646,20171231,10,500,YORK,UNITED STATES,0,0,FIRST YORK BAN CORP.,FIRST YORK BC,1,FRS,NE
1050712,20171231,10,500,OVERLAND PARK,UNITED STATES,0,0,"VALLEY VIEW BANCSHARES, INC.",VALLEY VIEW BSHRS,1,FRS,KS
1050730,20171231,10,500,VALLEY,UNITED STATES,0,0,PRAGUE COMPANY,PRAGUE CO,1,FRS,NE
1050776,20171231,10,500,TOPEKA,UNITED STATES,0,0,"FIRST NEWTON BANKSHARES, INC.",FIRST NEWTON BSHRS,1,FRS,KS
1050794,20171231,10,500,GORDON,UNITED STATES,0,0,ISHAM MANAGEMENT COMPANY,ISHAM MGMT CO,1,FRS,NE
1050806,20171231,10,500,PERKINS,UNITED STATES,2168977,0,"PAYNE COUNTY BANCSHARES, INC.",PAYNE CTY BSHRS,1,FRS,OK
1050851,20171231,10,500,WAGONER,UNITED STATES,0,0,FIRST WAGONER CORPORATION,FIRST WAGONER CORP,1,FRS,OK
1050909,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,CITIZENS BANCSHARES CO.,CITIZENS BSHRS CO,1,FRS,MO
1051009,20171231,10,500,LAUREL,UNITED STATES,0,549300TXX43QJPMQZ340,FIRST LAUREL SECURITY CO.,FIRST LAUREL SCTY CO,1,FRS,NE
1051054,20171231,10,500,ODELL,UNITED STATES,0,0,S. & S. INVESTMENT COMPANY,S&S INV CO,1,FRS,NE
1051063,20171231,10,500,SPRING HILL,UNITED STATES,0,0,"DUNMIRE AGENCY, INC., THE",DUNMIRE AGY,1,FRS,KS
1051072,20171231,10,500,BROKEN BOW,UNITED STATES,0,0,FIRST CENTRAL NEBRASKA CO.,FIRST CENTRAL NE CO,1,FRS,NE
1051081,20171231,10,500,SIDNEY,UNITED STATES,0,0,"FIRST NEBRASKA BANCS, INC.",FIRST NE BANCS,1,FRS,NE
1051175,20171231,10,500,BETHANY,UNITED STATES,0,0,"FIRST BETHANY BANCORP, INC.",FIRST BETHANY BC,1,FRS,OK
1051193,20171231,10,500,ESTES PARK,UNITED STATES,0,0,FIRST NATIONAL FINANCIAL CORPORATION,FIRST NAT FC,1,FRS,CO
1051269,20171231,10,500,GIRARD,UNITED STATES,0,0,"MID-AMERICA BANCSHARES, INC.",MID-AMERICA BSHRS,1,FRS,KS
1051317,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS",INTERNATIONAL BHOOD BOILERMKRS,1,FRS,KS
1051353,20171231,10,500,LUSK,UNITED STATES,0,0,BANKERS CAPITAL CORPORATION,BANKERS CAP CORP,1,FRS,WY
1051371,20171231,10,500,WAVERLY,UNITED STATES,0,0,"MEADER INSURANCE AGENCY, INC.",MEADER INS AGY,1,FRS,KS
