date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,37.0,200.0,BANK OF HANCOCK COUNTY,BANK OF HANCOCK CTY,1.0,6.0,SPARTA,UNITED STATES,GA,FDIC,0,37.0
20171231.0,242.0,200.0,FIRST COMMUNITY BANK XENIA-FLORA,FIRST CMNTY BK XENIA FLORA,1.0,8.0,XENIA,UNITED STATES,IL,FRS,0,3088643.0
20171231.0,279.0,300.0,"MINEOLA COMMUNITY BANK, SSB",MINEOLA CMNTY BK SSB,6.0,11.0,MINEOLA,UNITED STATES,TX,FDIC,0,3619720.0
20171231.0,354.0,200.0,BISON STATE BANK,BISON ST BK,1.0,10.0,BISON,UNITED STATES,KS,FDIC,0,354.0
20171231.0,457.0,200.0,LOWRY STATE BANK,LOWRY ST BK,1.0,9.0,LOWRY,UNITED STATES,MN,FDIC,0,1127016.0
20171231.0,505.0,200.0,BALLSTON SPA NATIONAL BANK,BALLSTON SPA NB,1.0,2.0,BALLSTON SPA,UNITED STATES,NY,OCC,0,1048728.0
20171231.0,1155.0,200.0,FIRST STATE BANK & TRUST COMPANY,FIRST ST BK & TR CO,1.0,10.0,FREMONT,UNITED STATES,NE,FDIC,0,1247231.0
20171231.0,1351.0,200.0,BANK OF GRANDIN,BANK OF GRANDIN,1.0,8.0,GRANDIN,UNITED STATES,MO,FDIC,0,1351.0
20171231.0,1454.0,200.0,HILLTOP NATIONAL BANK,HILLTOP NB,1.0,10.0,CASPER,UNITED STATES,WY,OCC,549300KJI3KX8KY2FG10,1054840.0
20171231.0,1557.0,200.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",FIRST ST BK KIOWA KS,1.0,10.0,KIOWA,UNITED STATES,KS,FDIC,0,2942850.0
20171231.0,1669.0,200.0,"LIBERTY NATIONAL BANK IN PARIS, THE",LIBERTY NB,1.0,11.0,PARIS,UNITED STATES,TX,OCC,0,2465283.0
20171231.0,1856.0,200.0,WASHITA STATE BANK,WASHITA ST BK,1.0,10.0,BURNS FLAT,UNITED STATES,OK,FDIC,0,1856.0
20171231.0,2040.0,200.0,FARMERS & MERCHANTS BANK,FARMERS & MRCHS BK,1.0,7.0,TOMAH,UNITED STATES,WI,FDIC,5493003PU4GOYGQN7E38,1245602.0
20171231.0,2161.0,200.0,LAMAR NATIONAL BANK,LAMAR NB,1.0,11.0,PARIS,UNITED STATES,TX,OCC,0,1136906.0
20171231.0,2376.0,300.0,ORITANI BANK,ORITANI BK,1.0,2.0,TOWNSHIP OF WASHINGTON,UNITED STATES,NJ,FDIC,549300XRBLWUN6J76L65,2692892.0
20171231.0,2554.0,200.0,STATE BANK OF MARIETTA,STATE BK OF MARIETTA,1.0,9.0,MARIETTA,UNITED STATES,MN,FDIC,0,3615272.0
20171231.0,2732.0,200.0,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",ALBANY B&TC NA,1.0,7.0,CHICAGO,UNITED STATES,IL,OCC,0,1208933.0
20171231.0,2750.0,200.0,GENOA COMMUNITY BANK,GENOA CMNTY BK,1.0,10.0,GENOA,UNITED STATES,NE,FDIC,0,2750.0
20171231.0,3252.0,200.0,"FIRST NATIONAL BANK OF GORDON, THE",FIRST NB OF GORDON,1.0,10.0,GORDON,UNITED STATES,NE,OCC,0,1050794.0
20171231.0,3403.0,0.0,NEW YORK BRANCH,ALLIED IRISH BKS NY BR,0.0,0.0,NEW YORK,UNITED STATES,NY,FRS,0,3403.0
20171231.0,3458.0,200.0,FARMERS BANK OF GREEN CITY,FARMERS BK,1.0,10.0,GREEN CITY,UNITED STATES,MO,FDIC,0,1061165.0
20171231.0,3720.0,200.0,"BANK OF CLARENDON, THE",BANK OF CLARENDON,1.0,5.0,MANNING,UNITED STATES,SC,FDIC,0,3720.0
20171231.0,3971.0,300.0,MIDCOUNTRY BANK,MIDCOUNTRY BK,1.0,9.0,BLOOMINGTON,UNITED STATES,MN,OCC,0,3839902.0
20171231.0,4156.0,200.0,KANZA BANK,KANZA BK,1.0,10.0,KINGMAN,UNITED STATES,KS,FDIC,0,2325369.0
