date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,242.0,200.0,FIRST COMMUNITY BANK XENIA-FLORA,FIRST CMNTY BK XENIA FLORA,1.0,8.0,XENIA,UNITED STATES,IL,FRS,0,3088643.0,3088643.0,3088643,8,500,XENIA,UNITED STATES,0,0,FIRST COMMUNITY BANCSHARES,FIRST COMMUNITY BSHRS,1,FRS,IL
20171231.0,279.0,300.0,"MINEOLA COMMUNITY BANK, SSB",MINEOLA CMNTY BK SSB,6.0,11.0,MINEOLA,UNITED STATES,TX,FDIC,0,3619720.0,3619720.0,3619720,11,500,MINEOLA,UNITED STATES,0,0,MINEOLA COMMUNITY MUTUAL HOLDING COMPANY,MINEOLA CMNTY MUT HC,6,FRS,TX
20171231.0,457.0,200.0,LOWRY STATE BANK,LOWRY ST BK,1.0,9.0,LOWRY,UNITED STATES,MN,FDIC,0,1127016.0,1127016.0,1127016,9,500,LOWRY,UNITED STATES,0,0,"FINANCIAL SERVICES OF LOWRY, INC.",FINANCIAL SVC OF LOWRY,1,FRS,MN
20171231.0,505.0,200.0,BALLSTON SPA NATIONAL BANK,BALLSTON SPA NB,1.0,2.0,BALLSTON SPA,UNITED STATES,NY,OCC,0,1048728.0,1048728.0,1048728,2,500,BALLSTON SPA,UNITED STATES,1048728,549300GZP3XCTYS85G65,"BALLSTON SPA BANCORP, INC.",BALLSTON SPA BC,1,FRS,NY
20171231.0,1155.0,200.0,FIRST STATE BANK & TRUST COMPANY,FIRST ST BK & TR CO,1.0,10.0,FREMONT,UNITED STATES,NE,FDIC,0,1247231.0,1247231.0,1247231,10,500,FREMONT,UNITED STATES,0,0,"FIRST STATE FREMONT, INC.",FIRST ST FREMONT,1,FRS,NE
20171231.0,1454.0,200.0,HILLTOP NATIONAL BANK,HILLTOP NB,1.0,10.0,CASPER,UNITED STATES,WY,OCC,549300KJI3KX8KY2FG10,1054840.0,1054840.0,1054840,10,500,CASPER,UNITED STATES,1054840,0,MIDLAND FINANCIAL CORPORATION,MIDLAND FC,1,FRS,WY
20171231.0,1557.0,200.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",FIRST ST BK KIOWA KS,1.0,10.0,KIOWA,UNITED STATES,KS,FDIC,0,2942850.0,2942850.0,2942850,10,500,ALVA,UNITED STATES,0,0,"GRACE INVESTMENT COMPANY, INC.",GRACE INV CO,1,FRS,OK
20171231.0,246956.0,200.0,ALVA STATE BANK & TRUST COMPANY,ALVA ST B&TC,1.0,10.0,ALVA,UNITED STATES,OK,FDIC,5493008SS1YH3EWLDY29,2942850.0,2942850.0,2942850,10,500,ALVA,UNITED STATES,0,0,"GRACE INVESTMENT COMPANY, INC.",GRACE INV CO,1,FRS,OK
20171231.0,310950.0,200.0,FIRST NATIONAL BANK IN OKEENE,FIRST NB IN OKEENE,1.0,10.0,OKEENE,UNITED STATES,OK,OCC,0,2942850.0,2942850.0,2942850,10,500,ALVA,UNITED STATES,0,0,"GRACE INVESTMENT COMPANY, INC.",GRACE INV CO,1,FRS,OK
20171231.0,1669.0,200.0,"LIBERTY NATIONAL BANK IN PARIS, THE",LIBERTY NB,1.0,11.0,PARIS,UNITED STATES,TX,OCC,0,2465283.0,2465283.0,2465283,11,500,PARIS,UNITED STATES,0,0,"PARIS BANCSHARES, INC.",PARIS BSHRS,1,FRS,TX
