id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state,common_id
1020180,20170930.0,9,500,SAINT PAUL,UNITED STATES,1020180,549300TXP74T8NJZJW60,BREMER FINANCIAL CORPORATION,BREMER FNCL CORP,1,FRS,MN,1020180.0
1020201,20170930.0,7,500,NEW YORK,UNITED STATES,3232316,549300LBOHZ4QSIWU288,HSBC USA INC.,HSBC USA,1,FRS,NY,1020201.0
1020902,20170930.0,10,500,OMAHA,UNITED STATES,1020902,0,"FIRST NATIONAL OF NEBRASKA, INC.",FIRST NAT OF NE,1,FRS,NE,1020902.0
1022764,20170930.0,12,500,HONOLULU,UNITED STATES,1022764,549300W3YEAOZ4KGG849,CENTRAL PACIFIC FINANCIAL CORP.,CENTRAL PACIFIC FC,1,FRS,HI,1022764.0
1023220,20170930.0,2,500,NEWARK,UNITED STATES,3587146,0,B.N.Y. HOLDINGS (DELAWARE) CORPORATION,BNY HOLD DE CORP,1,FRS,DE,1023220.0
1025309,20170930.0,12,500,HONOLULU,UNITED STATES,1025309,5493006Q8BQ8AD8M2U33,BANK OF HAWAII CORPORATION,BANK OF HI CORP,1,FRS,HI,1025309.0
1025541,20170930.0,12,500,SAN RAFAEL,UNITED STATES,1025541,0,WESTAMERICA BANCORPORATION,WESTAMERICA BC,1,FRS,CA,1025541.0
1025608,20170930.0,2,500,HONOLULU,UNITED STATES,1575569,5493002DJSH46F5OLV06,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN,1,FRS,HI,1025608.0
1026632,20170930.0,12,500,SAN FRANCISCO,UNITED STATES,1026632,0,"CHARLES SCHWAB CORPORATION, THE",CHARLES SCHWAB CORP,1,FRS,CA,1026632.0
1026801,20170930.0,12,500,FREMONT,UNITED STATES,1026801,549300HJ9U2LJ44PTD84,FREMONT BANCORPORATION,FREMONT BC,1,FRS,CA,1026801.0
1027004,20170930.0,12,500,SALT LAKE CITY,UNITED STATES,1027004,YYQWUR1Z2BCX32HQS333,ZIONS BANCORPORATION,ZIONS BC,1,FRS,UT,1027004.0
1029222,20170930.0,12,500,ONTARIO,UNITED STATES,1029222,0,CVB FINANCIAL CORP.,CVB FC,1,FRS,CA,1029222.0
1029259,20170930.0,11,500,DALLAS,UNITED STATES,1199844,0,COMERICA HOLDINGS INCORPORATED,COMERICA HOLDS,1,FRS,TX,1029259.0
1029286,20170930.0,8,500,CLAYTON,UNITED STATES,1118797,0,"SAN FRANCISCO COMPANY, THE",SAN FRANCISCO CO,1,FRS,MO,1029286.0
1029464,20170930.0,12,500,SPOKANE,UNITED STATES,1029464,0,W.T.B. FINANCIAL CORPORATION,WTB FC,1,FRS,WA,1029464.0
1030040,20170930.0,12,500,SACRAMENTO,UNITED STATES,1030040,HIDHKSSVNILGQQ1P9A04,BANK OF COMMERCE HOLDINGS,BANK OF CMRC HOLD,1,FRS,CA,1030040.0
1030170,20170930.0,12,500,CHICO,UNITED STATES,1030170,0,TRICO BANCSHARES,TRICO BSHRS,1,FRS,CA,1030170.0
1030947,20170930.0,12,500,BELLINGHAM,UNITED STATES,1030947,0,PEOPLES BANCORP,PEOPLES BC,1,FRS,WA,1030947.0
1031449,20170930.0,12,500,SANTA CLARA,UNITED STATES,1031449,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,1031449.0
1032464,20170930.0,2,500,WARSAW,UNITED STATES,1032464,0,"FINANCIAL INSTITUTIONS, INC.",FINANCIAL INST,1,FRS,NY,1032464.0
1032473,20170930.0,2,500,NEW YORK,UNITED STATES,2816906,529900JA77IQLWAUIY31,DEUTSCHE BANK TRUST CORPORATION,DEUTSCHE BK TR CORP,1,FRS,NY,1032473.0
1035157,20170930.0,2,500,SARATOGA SPRINGS,UNITED STATES,1035157,0,473 BROADWAY HOLDING CORPORATION,473 BROADWAY HOLD CORP,1,FRS,NY,1035157.0
1036967,20170930.0,2,500,LIVINGSTON,UNITED STATES,1036967,N8O96ZZJQRFYQUJY7K79,CIT GROUP INC.,CIT GROUP,1,FRS,NJ,1036967.0
1037003,20170930.0,2,500,BUFFALO,UNITED STATES,1037003,0,M&T BANK CORPORATION,M&T BK CORP,1,FRS,NY,1037003.0
1039502,20170930.0,2,500,NEW YORK,UNITED STATES,1039502,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,1,FRS,NY,1039502.0
1048513,20170930.0,3,500,GLENVILLE,UNITED STATES,1048513,0,TRUSTCO BANK CORP NY,TRUSTCO BC NY,4,FRS,NY,1048513.0
1048764,20170930.0,2,500,ENGLEWOOD CLIFFS,UNITED STATES,1048764,0,"CONNECTONE BANCORP, INC.",CONNECTONE BC,1,FRS,NJ,1048764.0
1048773,20170930.0,2,500,WAYNE,UNITED STATES,1048773,0,VALLEY NATIONAL BANCORP,VALLEY NAT BC,1,FRS,NJ,1048773.0
1048812,20170930.0,2,500,GLENS FALLS,UNITED STATES,1048812,0,ARROW FINANCIAL CORPORATION,ARROW FC,1,FRS,NY,1048812.0
1048867,20170930.0,2,500,SYRACUSE,UNITED STATES,1048867,0,"COMMUNITY BANK SYSTEM, INC.",COMMUNITY BK SYS,1,FRS,NY,1048867.0
1048894,20170930.0,2,500,GLEN HEAD,UNITED STATES,1048894,0,"FIRST OF LONG ISLAND CORPORATION, THE",FIRST OF LONG ISLAND CORP,1,FRS,NY,1048894.0
1049341,20170930.0,10,500,KANSAS CITY,UNITED STATES,1049341,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,MO,1049341.0
1049828,20170930.0,10,500,KANSAS CITY,UNITED STATES,1049828,549300MGEH3N3CUCV828,UMB FINANCIAL CORPORATION,UMB FC,1,FRS,MO,1049828.0
1050646,20170930.0,10,500,YORK,UNITED STATES,1050646,0,FIRST YORK BAN CORP.,FIRST YORK BC,1,FRS,NE,1050646.0
1050712,20170930.0,10,500,OVERLAND PARK,UNITED STATES,1050712,0,"VALLEY VIEW BANCSHARES, INC.",VALLEY VIEW BSHRS,1,FRS,KS,1050712.0
1052220,20170930.0,10,500,SAPULPA,UNITED STATES,1052220,0,"AMERICAN BANCORPORATION, INC.",AMERICAN BC,1,FRS,OK,1052220.0
1053272,20170930.0,10,500,OMAHA,UNITED STATES,1053272,0,"PINNACLE BANCORP, INC.",PINNACLE BC,1,FRS,NE,1053272.0
1053496,20170930.0,10,500,KANSAS CITY,UNITED STATES,1053496,0,CCB FINANCIAL CORPORATION,CCB FNCL CORP,1,FRS,MO,1053496.0
1053580,20170930.0,10,500,LINCOLN,UNITED STATES,1053580,0,"FARMERS & MERCHANTS INVESTMENT, INC.",FARMERS & MRCH INV,1,FRS,NE,1053580.0
1054514,20170930.0,8,500,COLUMBIA,UNITED STATES,1054514,0,LANDRUM COMPANY,LANDRUM CO,1,FRS,MO,1054514.0
1056161,20170930.0,10,500,LOS ALAMOS,UNITED STATES,1056161,549300QP9GRDFOOQFM86,TRINITY CAPITAL CORPORATION,TRINITY CAP CORP,1,FRS,NM,1056161.0
1056590,20170930.0,8,500,JEFFERSON CITY,UNITED STATES,2038409,0,"UNION STATE BANCSHARES, INC.",UNION ST BSHRS,1,FRS,MO,1056590.0
1056835,20170930.0,10,500,KANSAS CITY,UNITED STATES,1049341,0,"CBI-KANSAS, INC.",CBI KANSAS,1,FRS,MO,1056835.0
1058398,20170930.0,10,500,DURANT,UNITED STATES,1058398,0,"DURANT BANCORP, INC.",DURANT BC,1,FRS,OK,1058398.0
1058718,20170930.0,8,500,SEDALIA,UNITED STATES,1094314,0,THIRD BANCSHARES CORPORATION,THIRD BSHRS CORP,1,FRS,MO,1058718.0
1059715,20170930.0,10,500,OMAHA,UNITED STATES,1059715,0,AMERICAN NATIONAL CORPORATION,AMERICAN NAT CORP,1,FRS,NE,1059715.0
1060328,20170930.0,10,500,DENVER,UNITED STATES,1060328,UW4GNOJVVI4H1GTO8O90,"COBIZ FINANCIAL, INC.",COBIZ FNCL,1,FRS,CO,1060328.0
1060627,20170930.0,10,500,LAKEWOOD,UNITED STATES,1060627,0,FIRSTBANK HOLDING COMPANY,FIRSTBANK HC,1,FRS,CO,1060627.0
1061679,20170930.0,10,500,GLENWOOD SPRINGS,UNITED STATES,1061679,0,ALPINE BANKS OF COLORADO,ALPINE BK OF CO,1,FRS,CO,1061679.0
1062621,20170930.0,10,500,STILLWATER,UNITED STATES,1062621,549300L9BT8XEC918404,"SOUTHWEST BANCORP, INC.",SOUTHWEST BC,1,FRS,OK,1062621.0
