date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,2376.0,300.0,ORITANI BANK,ORITANI BK,1.0,2.0,TOWNSHIP OF WASHINGTON,UNITED STATES,NJ,FDIC,549300XRBLWUN6J76L65,2692892.0,2692892.0,2692892,3,163460.0,2810723.0,500,TOWNSHIP OF WASHINGTON,UNITED STATES,0,0,ORITANI FINANCIAL CORP,ORITANI FNCL CORP,1,FRS,NJ
20171231.0,3971.0,300.0,MIDCOUNTRY BANK,MIDCOUNTRY BK,1.0,9.0,BLOOMINGTON,UNITED STATES,MN,OCC,0,3839902.0,3839902.0,3839902,6,100156.0,502011.0,500,MACON,UNITED STATES,0,0,MIDCOUNTRY FINANCIAL CORP,MIDCOUNTRY FNCL CORP,1,FRS,GA
20171231.0,5210.0,200.0,ACNB BANK,ACNB BK,1.0,3.0,GETTYSBURG,UNITED STATES,PA,FDIC,0,1117464.0,1117464.0,1117464,3,54138.0,1244354.0,500,GETTYSBURG,UNITED STATES,0,0,ACNB CORPORATION,ACNB CORP,1,FRS,PA
20171231.0,7009.0,200.0,BESSEMER TRUST COMPANY,BESSEMER TC,1.0,2.0,WOODBRIDGE,UNITED STATES,NJ,FDIC,549300NEQHXUX4MZIH22,1246159.0,1246159.0,1246159,2,196425.0,2555880.0,500,WOODBRIDGE,UNITED STATES,0,0,"BESSEMER GROUP, INCORPORATED, THE",BESSEMER GRP,1,FRS,NJ
20171231.0,976703.0,200.0,"BESSEMER TRUST COMPANY, N.A.",BESSEMER TC NA,1.0,2.0,NEW YORK,UNITED STATES,NY,OCC,549300OTTCSOD5OCZ143,1246159.0,1246159.0,1246159,2,196425.0,2555880.0,500,WOODBRIDGE,UNITED STATES,0,0,"BESSEMER GROUP, INCORPORATED, THE",BESSEMER GRP,1,FRS,NJ
20171231.0,2845782.0,250.0,"BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",BESSEMER TC OF CA NA,1.0,0.0,SAN FRANCISCO,UNITED STATES,CA,OCC,0,1246159.0,1246159.0,1246159,2,196425.0,2555880.0,500,WOODBRIDGE,UNITED STATES,0,0,"BESSEMER GROUP, INCORPORATED, THE",BESSEMER GRP,1,FRS,NJ
20171231.0,3310287.0,250.0,"BESSEMER TRUST COMPANY OF DELAWARE, NATIONAL ASSOCIATION",BESSEMER TR CO OF DE NA,1.0,0.0,WILMINGTON,UNITED STATES,DE,OCC,0,1246159.0,1246159.0,1246159,2,196425.0,2555880.0,500,WOODBRIDGE,UNITED STATES,0,0,"BESSEMER GROUP, INCORPORATED, THE",BESSEMER GRP,1,FRS,NJ
20171231.0,9807.0,200.0,AMBOY BANK,AMBOY BK,1.0,2.0,OLD BRIDGE,UNITED STATES,NJ,FRS,0,2611718.0,2611718.0,2611718,2,69525.0,1953369.0,500,OLD BRIDGE,UNITED STATES,0,0,AMBOY BANCORPORATION,AMBOY BC,1,FRS,NJ
20171231.0,12311.0,200.0,"HUNTINGTON NATIONAL BANK, THE",HUNTINGTON NB,1.0,4.0,COLUMBUS,UNITED STATES,OH,OCC,0,1068191.0,1068191.0,1068191,4,21680341.0,55497578.0,500,COLUMBUS,UNITED STATES,0,0,HUNTINGTON BANCSHARES INCORPORATED,HUNTINGTON BSHRS,1,FRS,OH
20171231.0,12946.0,200.0,FARMERS BANK & TRUST COMPANY,FARMERS B&TC,1.0,8.0,MAGNOLIA,UNITED STATES,AR,FRS,549300GKNMX0ZXKVPE54,1135413.0,1135413.0,1135413,8,157027.0,1060253.0,500,MAGNOLIA,UNITED STATES,0,0,MAGNOLIA BANKING CORPORATION,MAGNOLIA BKG CORP,1,FRS,AR
